genus.species;Loo;K;Winfinity;tmax;tm;Lm;Temperature;length_at_mat;age_at_mat;BodyshapeI;BodyshapeII;Age_max;therm_pref;hermaphr;fecondation;movement;form;TL.1;SL;FL;HL;PAL;PDL;PPL;PPEL;ED;POL;BD;CH;CA;SnoutTipX;SnoutTipY;CaudalOriginX;CaudalOriginY;DorsalOriginX;DorsalOriginY;AnalOriginX;AnalOriginY;EyeFrontX;EyeFrontY;EyeEndX;EyeEndY;OpercleEndX;OpercleEndY;MaxDepthDorsalX;MaxDepthDorsalY;MaxDepthVentralX;MaxDepthVentralY;PectoralOriginX;PectoralOriginY;PelvicOriginX;PelvicOriginY;FLEndX;FLEndY;CaudalUpperX;CaudalUpperY;CaudalLowerX;CaudalLowerY;AspectRatio;habitat;feeding.mode;tl;fin.shape;AR;offspring.size;spawning.type
Acroteriobatus_annulatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21;dioecism;internal (oviduct);undulation of median or pectoral fins;rajiform;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Aculeola_nigra;102.3663801;0.07600997;5466.34599;38.54013543;17.93017081;69.23506189;11.95963964;NA;NA;NA;NA;NA;NA;dioecism;internal (oviduct);NA;NA;557;428;510;138;NA;206;298;141;31;23;76;68;6198;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.746047;NA;NA;NA;NA;NA;NA;NA
Aetobatus_flagellum;108.5946437;0.144709559;5877.387074;15.34422905;5.80909151;58.63229037;18.04237811;NA;NA;NA;NA;NA;NA;dioecism;internal (oviduct);undulation of median or pectoral fins;rajiform;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Aetobatus_narinari;108.5946437;0.144709559;5877.387074;15.34422905;5.80909151;58.63229037;18.04237811;99.8;NA;other;flattened;NA;NA;dioecism;internal (oviduct);undulation of median or pectoral fins;rajiform;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;reef-associated;generalist;4.17;pointed;NA;300;bearer
Aetomylaeus_maculatus;108.5946437;0.144709559;5877.387074;15.34422905;5.80909151;58.63229037;18.04237811;NA;NA;other;NA;NA;NA;dioecism;internal (oviduct);undulation of median or pectoral fins;rajiform;1263;274;1263;NA;NA;248;235;NA;16;27;NA;NA;NA;36;332;310;332;284;332;0;0;63;361;79;361;0;0;NA;NA;NA;NA;NA;NA;271;332;204;563;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Aetomylaeus_nichofii;108.5946437;0.144709559;5877.387074;15.34422905;5.80909151;58.63229037;18.04237811;NA;NA;other;flattened;NA;NA;dioecism;internal (oviduct);undulation of median or pectoral fins;rajiform;1037;315;1037;NA;NA;294;252;NA;11;26;NA;NA;NA;36;291;347;303;330;291;0;0;62;322;73;322;0;0;NA;NA;NA;NA;NA;NA;288;291;16;320;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Aetomylaeus_vespertilio;108.5946437;0.144709559;5877.387074;15.34422905;5.80909151;58.63229037;18.04237811;NA;NA;NA;NA;NA;NA;dioecism;internal (oviduct);undulation of median or pectoral fins;rajiform;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Alopias_pelagicus;198.1990239;0.162150702;23670.75219;14.9441198;7.005228151;118.2566247;20.97098397;NA;10.7333333333333;fusiform / normal;NA;NA;22;dioecism;internal (oviduct);NA;NA;568;256;286;74;239;122;190;65;6;17;52;113;6580;40;165;296;165;162;165;279;165;59;168;59;174;114;165;168;140;168;192;105;165;230;165;326;165;598;91;598;204;1.94058;NA;NA;NA;NA;NA;NA;NA
Alopias_superciliosus;391.9614174;0.105551332;207488.1233;22.78987702;10.74644131;221.8243506;20.96432864;NA;13.5;fusiform / normal;circular;21;22;dioecism;internal (oviduct);NA;NA;565;323;354;105;305;183;241;98;15;24;74;135;7332;40;175;363;175;223;175;345;175;69;166;69;181;145;175;220;133;220;207;138;175;281;175;394;175;603;71;603;206;2.48568;pelagic;piscivorous;4.51;heterocercal;2.49;1400;bearer
Alopias_vulpinus;469.5369827;0.107430115;330528.1009;23.6167095;10.98414608;284.1429609;16.92922422;303;8.15;fusiform / normal;circular;23.6666666666667;14;dioecism;internal (oviduct);NA;NA;572;278;300;78;244;117;177;70;5;16;66;110;6667;38;225;316;225;155;225;282;225;55;223;55;228;116;225;155;189;155;255;108;225;215;225;338;225;604;152;604;262;1.81491;pelagic;generalist;4.5;heterocercal;1.81;1360;bearer
