Sp;Lmx;Linf;K;Yrs;Mort;Life;Gen;AgeM;Lm;Lopt;Res;Anim;Plan;Both;Trop
sp1;17;18;0.42;0.45;0.99;6.7;2.6;1.9;11.2;10.8;4;1;0;0;3.1
sp2;23;24.2;0.32;0.55;0.75;8.8;2.4;2.3;14.6;14.7;4;1;0;0;3
sp3;19;20.1;0.38;0.48;0.89;7.4;2.8;2;12.4;12.1;4;0;0;1;2.7
sp4;20;18.9;0.85;0.21;1.72;3.3;1.3;0.9;11.7;11.4;4;0;0;1;2.6
sp5;38;25;0.7;0.24;1.44;4;1.1;1.1;15;15.2;4;0;1;0;2
sp6;60;62.2;0.18;0.77;0.39;15.9;4.8;3.6;34.1;39.4;3;1;0;0;4.2
sp7;15;15.9;0.55;0.35;1.24;5.1;2;1.5;10;9.5;4;1;0;0;3.5
sp9;13;13.8;0.53;0.38;1.25;5.3;2.1;1.5;8.8;8.2;4;1;0;0;2.7
sp10;11;11.7;0.62;0.34;1.46;4.5;1.8;1.4;7.6;6.9;4;0;0;1;2.6
sp11;13;13.8;0.53;0.38;1.25;5.3;2.1;1.5;8.8;8.2;4;1;0;0;3.4
sp12;65;67.3;0.17;0.8;0.36;16.8;5.1;3.8;36.6;42.7;3;1;0;0;3.9
sp13;22;23.2;0.38;0.47;0.86;7.4;2.7;2;14.1;14.1;4;1;0;0;3.5
sp15;15;15.9;0.39;0.5;1.3;7.2;2.8;2;10;9.5;4;0;1;0;2.9
sp16;14;14.9;0.5;0.4;1.18;5.6;2.2;1.6;9.4;8.9;4;0;1;0;2.7
sp17;11;11.7;0.62;0.34;1.46;4.5;1.8;1.4;7.6;6.9;4;0;0;1;2.8
sp18;10;9.7;0.48;0.46;1.37;5.8;2.4;1.8;6.4;5.7;4;0;0;1;2.2
sp19;14;14.9;0.5;0.4;1.18;5.6;2.2;1.6;9.4;8.9;4;0;1;0;2.7
sp20;30;31.5;0.55;0.29;1.05;5.2;1.4;1.3;18.5;19.4;4;0;0;1;2.5
sp21;33;34.5;0.51;0.31;0.97;5.6;1.6;1.4;20.1;21.3;4;1;0;0;3.4
sp22;120;123.1;0.15;0.77;0.29;19.2;6.3;4;62.9;80.2;2;1;0;0;3.6
sp24;30;31.5;0.4;0.41;0.83;7.1;2;1.8;18.5;19.4;4;1;0;0;3.4
sp25;75;77.5;0.17;0.77;0.35;16.9;5.2;3.7;41.5;49.5;3;1;0;0;3.3
sp27;25;26.3;0.34;0.51;0.64;8.3;2.3;2.2;15.7;16.1;4;1;0;0;3.2
sp28;12;12.8;1.07;0.19;2.7;2.6;1;0.8;8.2;7.6;4;1;0;0;3.5
sp29;40;41.7;0.46;0.33;0.86;6.2;1.8;1.5;23.8;26;4;1;0;0;3.4
sp30;40;41.7;0.46;0.33;0.86;6.2;1.8;1.5;23.8;26;4;1;0;0;3.4
sp31;11;11.7;1.4;0.15;2.69;2;0.8;0.6;7.6;6.9;4;0;0;1;2.8
sp32;25;26.3;0.53;0.32;1.07;5.3;1.5;1.4;15.7;16.1;4;1;0;0;4
sp33;13;13.8;0.97;0.2;1.96;2.9;1.1;0.8;8.8;8.2;4;1;0;0;3.9
sp34;60;62.2;0.18;0.77;0.39;15.9;4.8;3.6;34.1;39.4;3;1;0;0;4.5
sp35;10;10.7;0.88;0.24;1.94;3.2;1.3;1;7;6.3;4;0;1;0;2.8
sp37;40;41.7;0.26;0.59;0.56;10.9;3.2;2.7;23.8;26;3;1;0;0;4.2
sp38;15;15.9;0.6;0.32;1.33;4.7;1.8;1.3;10;9.5;4;0;1;0;2.6
sp39;34;35.6;0.3;0.53;0.65;9.5;2.7;2.4;20.7;22;3;1;0;0;4
sp41;16;10.9;1;0.21;2.13;2.8;1.1;0.8;7.1;6.4;4;1;0;0;3.3
