Sp;T1_1;T1_2;T1_3;T1_4;T1_5;T1_6;T1_7;T2_1;T2_2;T3_1;T3_2;T3_3;T4_1;T4_2;T4_3;T4_4;T5_1;T5_2;T5_3;T5_4;T5_5;T5_6;T5_7;T5_8;T6_1;T6_2;T6_3;T6_4;T7_1;T7_2;T7_3;T7_4;T7_5;T8_1;T8_2;T8_3;T8_4;T8_5;T8_6;T8_7;T8_8;T8_9;T9_1;T9_2;T9_3;T9_4;T9_5;T9_6;T9_7;T9_8;T10_1;T10_2;T10_3;T10_4;T21_1;T21_2;T21_3;T21_4;T21_5;T21_6;T21_7;T21_8
sp1;0;0;3;2;0;0;0;0;3;0;3;1;3;3;0;2;0;0;0;3;0;1;0;0;1;1;0;3;0;0;0;0;3;0;0;0;0;0;0;1;3;1;0;0;3;0;0;3;0;0;1;0;0;3;1;0;3;3;0;0;0;0
sp2;0;3;0;0;0;0;0;1;3;0;3;1;3;3;0;2;0;0;0;3;0;0;0;0;0;1;0;3;0;0;0;0;3;0;0;0;3;0;0;3;1;0;0;0;3;0;0;0;1;0;1;0;1;3;1;0;3;3;0;0;0;0
sp3;0;0;3;0;0;0;0;1;3;0;3;0;3;3;0;2;0;0;0;3;0;0;0;0;0;2;0;3;0;0;0;0;3;0;0;0;0;0;0;1;3;0;0;0;3;0;0;3;0;0;1;3;0;3;1;3;3;3;0;0;0;0
sp4;0;2;2;0;0;0;0;1;3;0;3;1;3;3;0;2;0;0;0;0;0;3;0;0;0;1;0;3;0;0;3;0;0;0;0;0;3;0;0;3;1;0;0;0;3;0;0;0;3;0;3;3;1;3;1;0;3;3;0;0;0;0
sp5;0;3;0;0;0;0;0;1;3;0;1;3;3;3;0;2;0;0;0;3;0;0;0;0;1;1;0;3;0;0;0;0;3;0;0;0;0;0;0;2;3;0;0;0;3;0;0;3;0;0;1;0;0;3;1;0;3;3;0;1;0;0
sp6;0;3;0;0;0;0;0;1;3;0;3;0;3;3;0;2;0;0;0;0;0;0;3;0;0;1;0;3;0;0;0;0;3;0;1;0;3;0;0;0;0;0;0;0;1;3;0;0;0;0;1;3;0;0;0;0;0;5;0;0;0;0
sp7;0;3;1;0;0;0;0;1;3;0;1;3;3;3;0;2;0;0;0;3;0;0;0;0;2;1;0;3;0;0;0;0;3;0;0;0;0;0;0;2;3;0;0;0;3;0;0;3;0;0;1;0;0;3;1;0;3;3;0;0;0;0
sp8;0;3;0;0;0;0;0;1;3;0;3;0;1;2;0;1;0;0;0;0;0;1;3;0;0;1;0;3;0;0;0;0;3;0;0;3;3;0;0;0;0;0;0;0;3;3;0;0;0;0;3;0;3;3;2;0;0;3;3;0;0;0
sp9;0;0;0;0;3;1;0;0;3;0;3;0;3;3;0;2;0;0;0;0;0;3;0;0;0;1;0;3;0;0;0;0;3;0;0;0;0;0;0;0;3;3;0;0;3;0;0;3;0;0;1;0;0;3;1;0;3;3;0;0;0;0
sp10;0;3;0;0;0;0;0;1;3;0;3;0;3;3;0;2;0;0;0;3;0;0;0;0;2;1;0;2;0;0;0;0;3;0;1;0;3;0;0;0;0;0;0;0;1;3;0;0;0;0;1;3;3;0;1;0;0;4;0;1;0;0
