Sp;Perennial;Rhizomatous;Graminoid;C4;Succulence;logla;logsla;lognmass;lognarea;logcn;loght
sp1;1;1;1;0;0;4.829880126;3.43791143;1.048023658;0.011490431;2.76414631;4.094344562
sp2;0;0;0;0;0;6.310847661;3.385430637;0.874957357;0.073099149;2.895824642;4.094344562
sp3;1;1;0;0;0;7.93113638;3.131222103;1.316929278;0.488292182;2.500832573;3.401197382
sp4;1;0;0;0;0;7.167592811;2.506260524;0.785669842;0.65024683;3.122758019;5.010635294
sp5;1;0;0;0;0;8.949505025;2.414265635;0.924835719;0.844917859;2.918513969;5.298317367
sp6;1;1;0;0;0;2.214074484;1.338605877;0.352024246;1.316003514;3.248910553;5.521460918
sp7;1;1;0;0;0;6.171579678;2.808276881;0.999758705;0.49999001;2.85257262;4.787491743
sp8;0;0;0;0;1;6.88203411;3.379133147;1.384655769;0.48118983;2.237674556;4.49980967
sp9;0;0;0;0;0;8.436620445;4.041684931;1.572566023;-0.10558054;2.214258561;3.912023005
sp10;1;1;0;0;0;7.333931354;3.915562833;0.964307264;-0.035502108;2.759162366;5.075173815
sp11;1;1;1;0;0;5.779006091;2.385679141;0.616581421;0.590768382;3.253895997;5.010635294
sp12;1;1;1;0;0;8.585223688;2.488140249;0.98934452;0.5880363;3.180113084;4.905274778
sp13;1;0;0;0;0;7.578003069;2.83129421;0.597010659;0.002572389;3.144492867;5.703782475
sp14;1;1;0;0;0;7.061957423;3.220752064;1.00411661;0.197122152;2.928885651;5.703782475
sp15;1;0;1;0;0;3.93089836;3.748576799;1.236294679;-0.209696865;2.466565389;3.688879454
sp16;1;1;1;0;0;2.285743262;2.953241074;0.924112859;0.27713957;2.935062473;1.609437912
sp17;1;1;0;0;0;8.554320011;2.430413856;1.267565441;1.144660347;2.580567374;5.298317367
sp18;0;0;0;0;0;6.794582242;3.759629255;1.481164444;0.024120156;2.390418574;5.010635294
sp19;1;1;0;0;0;9.564662327;1.853784992;0.520466798;0.969267055;3.254108906;5.010635294
sp20;0;0;1;1;0;4.373706808;2.299823383;1.140552378;1.201299314;2.745901195;4.700480366
sp21;1;1;0;0;0;5.753581416;2.914502966;0.720985572;0.109067925;3.177781502;4.605170186
sp22;1;1;0;0;0;6.592724298;3.083065128;0.811935045;0.195700821;3.072937868;5.010635294
sp23;1;1;1;0;0;7.193204496;2.808344184;0.967320672;0.996105918;2.897953003;5.438079309
sp24;1;1;1;0;0;8.288985641;2.307264527;1.017935352;1.056603236;2.815450934;5.991464547
sp25;1;1;1;0;0;8.016995309;2.211896527;0.921275089;1.045884914;2.949405258;5.991464547
sp26;1;1;0;0;0;7.58104806;3.373374798;0.946213351;-0.124576295;2.867584023;4.49980967
sp27;1;1;1;0;0;5.817563177;2.29710239;-0.066756446;-0.061273776;3.851595192;4.248495242
sp28;1;1;0;0;0;8.275747293;3.463277101;1.204187181;0.210079304;2.842003072;4.787491743
sp29;0;0;0;0;0;7.898652898;3.545174861;1.480699359;0.33837243;2.405449396;5.010635294
sp30;0;0;0;0;0;6.457356223;3.448671824;1.000863104;-0.146070364;3.083610038;4.605170186
sp31;1;1;0;0;0;7.584342759;3.666337687;1.158773431;-0.20497903;2.645245926;4.605170186
sp33;1;1;0;0;0;8.283209528;3.516771194;1.345274951;0.131088699;2.488322891;4.787491743
sp34;1;1;0;0;0;7.032971821;2.620016484;0.527388302;0.505547097;3.389160933;5.010635294
sp35;1;1;0;0;0;7.792857389;3.111821342;0.917579901;-0.052858413;2.679618559;5.010635294
sp36;1;1;1;1;0;7.41339344;1.500336854;0.497402333;1.318916399;3.416713187;5.521460918
sp37;0;0;0;0;1;2.728303772;2.468368733;0.783224602;0.759917257;2.711554919;3.218875825
sp38;1;1;0;0;0;6.640623122;3.382965147;0.772974019;-0.282142643;3.122460294;4.605170186
sp39;1;0;0;0;0;6.338105061;2.802959695;0.952577144;0.452202627;2.973111287;4.605170186
sp40;1;1;1;0;0;8.352002828;1.860772807;0.606199983;1.0705946;3.35535283;5.010635294
sp41;1;1;1;0;0;9.298030787;1.548470182;0.708425372;1.553609973;3.160291128;5.703782475
sp42;0;0;0;0;0;9.003507009;3.890231302;1.5621293;0.134927318;2.184832782;4.382026635
