Sp;hostnum;deltaplusreg;deltapluscont;hostnumber-corrected;sespdreg;sespdcont;body;nest;body-and-nest;summer;winter;year round
sp1;-0.190062;152.308333;119.74;0.54040309;-0.10905;-1.352796055;1;0;0;0;0;1
sp2;-0.051149;105.268083;115.3559524;0.196294645;-0.872941;-2.14526136;1;0;0;0;0;1
sp3;-0.074577;143.439464;146.5839015;0.77815125;-0.158704;0.33534237;1;0;0;0;0;1
sp4;0.292065;109.964224;132.7958896;1.301029996;-1.093615;-0.03230896;1;0;0;1;0;0
sp7;-0.038016;76.003583;94.84571429;0.29990488;-1.122359;-3.031931494;1;0;0;0;0;1
sp8;0.169423;92.672917;125.6944444;0.542541524;-1.214023;-1.065435657;0;1;0;0;0;1
sp9;-0.004345;92.703523;132.5377841;0.147912512;-1.238676;-0.56019374;1;0;0;0;0;1
sp10;0.323894;111.40756;119.5327778;0.383708212;-1.180387;-1.021941762;1;0;0;0;0;1
sp11;0.171391;106.249598;142.0260197;0.643452676;-0.717909;-0.882876019;1;0;0;0;0;1
sp12;-0.197336;90.711667;141.9566667;0.054620951;-1.097993;-0.722207119;1;0;0;0;0;1
sp13;0.006069;157.934821;135.4696429;0.71245716;0.026034;-0.687526101;1;0;0;0;0;1
sp14;-0.163639;120.137302;129.6610294;1.491361694;-0.519729;-3.343535298;1;0;0;0;1;0
sp15;-0.301171;109.234583;121.6751389;1.593676913;0.035378;-2.550215465;1;0;0;0;0;1
sp16;-0.322836;190.825;163.2583333;0.579783597;0.872469;0.1992357;1;0;0;1;0;0
sp17;-0.200927;175.097778;152.6535714;0.638286465;0.495343;-0.708130783;0;0;1;1;0;0
sp18;0.182061;96.155798;143.4182817;0.698970004;-1.238067;-2.057424284;1;0;0;1;0;0
sp19;-0.187392;21.65;21.65;0.042038708;-0.555363;-0.58805562;1;0;0;1;0;0
sp20;0.12845;69.408333;69.40833333;0.063056799;-1.565253;-1.777956332;1;0;0;1;0;0
sp21;0.021264;139.914583;133.2581818;1.076751119;-0.520383;-1.757502104;1;0;0;0;1;0
sp22;0.32724;116.894538;149.6830882;0.531478917;-1.433123;-1.080453304;0;0;1;1;0;0
sp23;0.294161;115.578304;129.8744577;0.263241435;-1.133446;-1.282900667;0;0;1;1;0;0
sp24;0.077879;96.207464;117.052381;0.144897739;-0.82902;-2.099433785;0;0;1;1;0;0
sp26;0.114367;81.403408;122.7902778;0.393479131;-0.793821;-2.903744705;0;0;1;1;0;0
sp27;0.259132;126.249735;142.1844038;0.718987118;-0.951649;-0.980060181;0;0;1;1;0;0
sp28;-0.187392;21.65;21.65;0.0012244;-0.555363;-0.58805562;0;0;1;1;0;0
sp29;0.12845;69.408333;69.40833333;0.074633618;-1.565253;-1.777956332;0;0;1;1;0;0
sp30;-0.133111;88.936615;92.1440768;0.458177059;-0.8686;-3.464750978;1;0;0;1;0;0
sp31;-0.164457;204.83125;204.83125;0.092754053;1.049775;1.049633759;1;0;0;1;0;0
sp32;-0.050349;46.45;46.45;0.176091259;-1.180721;-1.241994162;1;0;0;1;0;0
sp33;-0.164457;161.75;161.75;0.013161446;0.406955;0.435812676;1;0;0;1;0;0
sp34;-0.224622;158.87706;130.2340909;1.079181246;0.110862;-1.86274386;1;0;0;1;0;0
sp35;-0.103093;140.220546;143.6953598;1.261262869;-0.012674;-0.516900832;1;0;0;1;0;0
sp36;-0.060569;91.952778;93.47;0.325920367;-0.439786;-1.487712958;1;0;0;0;0;1
sp37;-0.191443;132.820833;136.25;1.058594715;-0.271857;-1.140555744;1;0;0;1;0;0
sp38;-0.331594;134.073958;134.0739583;1.396301932;-0.15146;-0.153330276;1;0;0;1;0;0
sp39;0.058708;143.775333;142.9705128;0.681392422;-0.426182;-1.037590823;1;0;0;1;0;0
sp40;0.141989;130.514992;136.7785282;1.041392685;-0.601455;-2.156519326;1;0;0;1;0;0
sp41;0.159323;144.782292;139.7130952;1.126224992;0.105721;-0.650937196;1;0;0;1;0;0
sp42;0.145066;104.567771;131.8643353;0.56427143;-1.001969;-3.763694707;1;0;0;1;0;0
sp43;-0.060676;85.663333;108.2508929;0.124938737;-0.477502;-1.804001397;1;0;0;1;0;0
sp45;0.202933;68.54;68.54;0.062147907;-2.055106;-2.064405554;1;0;0;1;0;0
sp46;0.093117;89.386384;141.6010375;0.491599078;-1.365948;-2.963455927;1;0;0;1;0;0
sp47;-0.054384;97.214583;96.2675;0.884606581;-0.674299;-2.620300308;1;0;0;1;0;0
sp49;-0.267941;82.85;82.85;0.278753601;-0.210017;-0.243711709;1;0;0;1;0;0
sp50;0.050383;96.367143;98.85833333;0.138302698;-1.646867;-2.658509904;1;0;0;1;0;0
sp51;-0.05048;102.753869;104.1201923;0.470172395;-1.149149;-2.35432149;1;0;0;1;0;0
sp52;-0.129091;109.15352;107.5927083;0.301029996;-0.790651;-2.578520387;1;0;0;0;0;1
sp53;-0.067488;166.220833;150.9941667;0.461609089;0.647811;-0.144211803;1;0;0;0;0;1
sp54;-0.063705;95.531234;113.0796131;0.812913357;-0.854907;-3.014684237;1;0;0;0;0;1
sp55;-0.064741;83.276875;113.2285714;0.477121255;-0.809132;-1.415368715;1;0;0;0;0;1
sp56;-0.004178;90.302917;102.3619048;0.477121255;-0.61155;-1.743457991;0;0;1;1;0;0
sp57;-0.27864;84.895833;74.75083333;1.278753601;-0.544377;-2.268639627;0;0;1;1;0;0
sp58;-0.196786;85.8;85.8;0.075976106;-0.208167;-0.24070963;0;0;1;1;0;0
sp60;-0.254794;104.381417;99.63819444;1.33243846;-0.366181;-2.170684673;0;0;1;1;0;0
sp61;0.312595;133.209167;133.4954545;0.322219295;-0.067638;-0.423015075;0;0;1;1;0;0
sp62;-0.057004;98.808869;112.7538542;0.144682795;-0.469065;-1.780269318;0;0;1;1;0;0
sp63;0.046482;121.823984;145.6809117;0.525158512;-0.32153;0.105520129;0;0;1;1;0;0
sp64;0.002513;126.112736;135.7468524;1.543247847;-0.27916;-1.623686056;0;0;1;1;0;0
sp66;-0.151094;98.608333;98.60833333;0.098786972;-0.410512;-0.452859673;0;0;1;1;0;0
sp67;0.042909;80.389063;84.82395833;0.164284468;-1.068785;-1.195049298;0;0;1;1;0;0
sp68;-0.182583;66.277604;84.82395833;0.334106454;-0.742135;-1.195049298;0;0;1;1;0;0
sp69;-0.230652;95.175;83.38125;0.044582133;-0.518364;-1.224462602;0;0;1;1;0;0
sp70;-0.06257;36.520833;35.73333333;0.081374898;-0.868794;-2.256096058;0;0;1;1;0;0
sp71;0.002374;87.835448;122.7679067;0.698970004;-1.083174;-2.626603762;0;0;1;1;0;0
sp72;-0.185951;113.25;117.84375;0.255272505;0.128734;-0.676540218;0;0;1;1;0;0
sp73;-0.011769;96.186634;129.5996483;0.397940009;-0.814597;-3.655004837;0;0;1;1;0;0
sp74;0.104416;104.544526;133.1298635;0.278959477;-0.90005;-1.347373359;1;0;0;0;0;1
sp75;-0.119891;156.965278;140.4338235;0.242151803;0.167993;-1.960184137;1;0;0;0;0;1
sp76;-0.053073;146.579167;139.4714015;0.73239376;-0.212815;-0.059453602;1;0;0;0;0;1
sp77;0.428547;148.286204;135.835;0.724043895;-0.43554;-1.387928848;1;0;0;0;0;1
sp78;-0.090461;164.263889;139.7214286;0.477121255;0.489523;-1.155240469;1;0;0;0;1;0
sp80;0.07958;109.365933;132.2836538;0.176091259;-0.295263;-1.394239509;1;0;0;0;0;1
sp81;-0.266167;130.807292;123.6625;0.034247844;-0.456179;-0.829713315;1;0;0;0;0;1
sp82;-0.089017;138.662361;157.5162775;0.15490196;0.488788;0.826900092;1;0;0;0;0;1
sp83;-0.155153;149.663889;126.75;0.113976658;0.18178;-0.754952332;1;0;0;0;1;0
sp84;-0.381004;82.85;126.4666667;0.477121255;-0.210017;-0.169579453;0;1;0;0;0;1
sp85;0.054339;93.48119;134.51375;0.698970004;-0.463674;-2.441837009;0;1;0;0;0;1
sp86;-0.158394;97.375;97.375;0.230448921;-0.039581;0.01004647;0;1;0;0;0;1
sp88;0.005432;137.966667;137.9666667;0.526809039;0.095221;0.049633922;0;1;0;0;0;1
sp89;-0.00677;96.153333;141.9566667;0.070727461;-0.514988;-0.722207119;1;0;0;0;1;0
sp90;0.130371;145.095833;145.0958333;0.06694679;0.069036;0.051126478;1;0;0;0;1;0
sp91;-0.383736;118.3025;118.3025;0.174898731;-0.671849;-0.668988558;1;0;0;0;1;0
sp93;0.233414;155.07;143.2605556;0.946124619;0.159363;-1.48504625;1;0;0;0;1;0
sp94;0.258845;121.547435;155.84625;0.79204986;-0.290329;0.132275857;1;0;0;0;1;0
sp95;-0.170659;17.7;17.7;0.086637128;-0.507126;-0.49187995;1;0;0;0;1;0
sp97;-0.330404;86.8;64.66666667;0.132625565;0.001622;-1.154980468;1;0;0;0;1;0
