Species;Horizontal_habitat;Vertical_habitat;Trophic_guild;Trophic_lvel;Lmax;Body_shape;Age_mature;Length_mature;Lifespan;Median_temp;Temp_range;Parental_care;Fecundity;Offspring_szie
Agonus_cataphractus;Inner_shelf;Demersal;Benthivore;3.4;21;Fusiform_Normal;2;9.5;3;11.371;2.281;1;3000;2
Alosa_spp;Shelf;Pelagic;Planktivore;3.6;64.5;Fusiform_Normal;3;36.5;17.5;11.6225;5.1665;1;222902;3.1
Amblyraja_radiata;Shelf;Demersal;Piscivore;4;105;Other;4;55;28;7.172;6.3824;5;50;110
Ammodytes_spp;Inner_shelf;Benthopelagic;Planktivore;2.95;22.5;Elongated;1.916666667;10.98333333;8.5;11.301;2.1183;2;8225;0.8
Anarhichas_lupus;Shelf;Demersal;Benthivore;3.2;150;Elongated;9;55;22;6.989;7.147;4;10000;5
Anarhichas_minor;Shelf;Demersal;Benthivore;3.5;180;Elongated;6.36;75.9;22;4.623;6.0702;3;12159;5.5
Anguilla_anguilla;Coastal;Demersal;Bentho_piscivore;3.5;50;Eel_Like;9.25;50.4;88;10.193;10.2194;1;2000000;1.05
Aphia_minuta;Inner_shelf;Pelagic;Planktivore;3.1;7.9;Elongated;0.42;3.8;1;11.939;9.266;4;1573;0.34
Argentina_silus;Slope;Benthopelagic;Planktivore;3.3;70;Elongated;6.333333333;24.3;35;8.9575;4.948;1;10000;3.25
Argentina_sphyraena;Shelf;Benthopelagic;Planktivore;3.6;35;Elongated;2.7;13.6;16;10.777;4.5856;1;10000;1.7
Arnoglossus_spp;Inner_and_Outer_Shelf;Demersal;Benthivore;3.7;25;Fusiform_Normal;2.95;13.35;9.15;12.749;8.876;1;50000;0.7
Artediellus_atlanticus;Shelf;Demersal;Benthivore;3.4;15;Fusiform_Normal;3.6;10;12.7;5.759;5.759;2;117;4
Atherina_presbyter;Coastal;Pelagic;Benthivore;3.7;20;Elongated;1.1;7.8;4;12.605;7.61;2;1500;1.7
Belone_belone;Shelf;Epipelagic;Piscivore;4.2;93;Elongated;2;45;8;11.731;9.908;2;30000;3.2
Brama_brama;Oceanic;Mesopelagic;Piscivore;4.1;100;Short_and_or_Deep;8;38.2;35.8;16.313;8.8096;1;NA;1.575
Brosme_brosme;Outer_shelf;Demersal;Benthivore;4;120;Elongated;8;50;20;9.331;2.367;1;2449490;1.4
Buglossidium;Inner_shelf;Demersal;Benthivore;3.3;15;Fusiform_Normal;3;6.5;13;11.523;1.782;1;13400;0.8
Buglossidium_luteum;Inner_shelf;Demersal;Benthivore;3.3;15;Fusiform_Normal;3;6.5;13;11.523;1.782;1;13400;0.8
Callionymus_spp;Shelf;Demersal;Benthivore;3.3;19;Fusiform_Normal;1.333333333;11.1;5.033333333;11.42466667;2.738133333;1;5000;0.8
Capros_aper;Slope;Bathydemersal;Planktivore;3.1;30;Short_and_or_Deep;5.3;10.4;18.7;13.8615;7.7929;1;NA;NA
Chelidonichthys_cuculus;Shelf;Demersal;Benthivore;3.8;50;Fusiform_Normal;3;26.6;21;12.483;8.4997;1;100000;1.55
Chelidonichthys_lucerna;Shelf;Demersal;Benthivore;3.7;75.1;Fusiform_Normal;2.4;23.1;15;11.7265;2.1617;1;100000;1.3
Chimaera_monstrosa;Slope;Bathydemersal;Benthivore;3.5;150;Elongated;11.2;42.2;29;12.979;9.5704;2;200;170
