Sp;FL_start;FL_end;Log_Sdms;Var_Sd;Lf_sumgn;Lf_wingn;Hemicryp;Therophy;Chamaeph;Geophyte;Hemiphan;LS_peren;LS_bienn;LS_annua;PV_self;PV_insct;PV_wind;Rosette;Hemirose;Erosulate;Rhizome;Stolon;CanHt;LDMC;Leafsize;SLA;Termvelo;Seedlong
sp52;6;10;-0.886056648;0.720933333;0;1;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0.3955;174.4175;510.3928571;18.82806433;1.443611111;0.228571429
sp1;6;8;-1.259637311;0.370658333;1;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0.3;290.4575;40.68263824;24.75033579;1.2;0.545454545
sp2;6;7;-1.22184875;0.366033333;1;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0.25;275.3728571;260.4473684;28.66141326;1.146153846;0.666666667
sp3;6;7;-1.301029996;0.330158333;0;1;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0.25;311.75;209.1315789;22.75588599;1.261891892;0.488888889
sp4;6;9;-1.22184875;0.366033333;1;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0.11;344.3490909;123.0270944;15.43809034;1.3307;0.6
sp53;5;8;0.170261715;0.161633333;0;1;1;0;0;0;0;1;0;0;0.5;0.5;0;0;1;0;0;1;0.161666667;153;556;32;1.8;0.476190476
sp5;5;10;-0.431798276;1.590711111;0;1;0.5;0.5;0;0;0;0.5;0;0.5;0;0;1;0;1;0;0.5;0.5;0.2;227.7633333;254.8478261;23.234296;1.2251;0.76
sp54;7;9;0.170261715;5.508133333;1;0;1;0;0;0;0;0.5;0.5;0;0;1;0;0;1;0;0;0;0.783333333;220;40902;26.93231906;1.801818182;0.210526316
sp6;5;6;-0.283996656;0.666633333;0;1;1;0;0;0;0;1;0;0;0.5;0;0.5;0;1;0;1;0;0.165;271.8618182;71.5;29.76021023;2.415535714;0.369565217
sp7;6;10;0.45331834;7.957975;1;0;1;0;0;0;0;1;0;0;0.5;0;0.5;0;1;0;0;0;1.275;274.9323077;560.8846154;29.942818;2.57375;0.206896552
sp8;5;7;0.331427297;23.578275;0;1;1;0;0;0;0;1;0;0;0.5;0;0.5;0;1;0;0;1;0.65;322.6666667;932;9.282094017;1.785;0.2
sp9;6;8;1.539828558;22.62650833;1;0;0;1;0;0;0;0;0;1;0.5;0;0.5;0;1;0;0;0;0.874666667;189.2672727;4343.75;25.75236116;4.85;0
sp10;6;8;1.539828558;22.62650833;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0.874666667;189.2672727;4343.75;25.75236116;4.85;0
sp56;1;11;-0.958607315;0.372633333;0;1;1;0;0;0;0;1;0;0;0.5;0.5;0;1;0;0;1;0;0.055;113.5;359;27.075;1.506666667;0.567567568
sp57;4;5;-0.853871964;1.253158333;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;25;273;1180;14.39143282;0.790909091;0.533333333
sp55;7;9;-2;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0.2;400;1000;13;0.3;0.2
sp58;8;10;-1.397940009;0.047233333;0;1;0;0;0;0;1;1;0;0;0;0.5;0.5;0;0;1;0;1;0.826;287;0.975;11.27779125;1.272;0.827586207
