SpecName;accGenus;accSpecies;PalmTribe;PalmSubfamily;Climbing;Acaulescent;Erect;StemSolitary;StemArmed;LeavesArmed;MaxStemHeight_m;MaxStemDia_cm;UnderstoreyCanopy;MaxLeafNumber;Max_Blade_Length_m;Max_Rachis_Length_m;Max_Petiole_length_m;AverageFruitLength_cm;MinFruitLength_cm;MaxFruitLength_cm;AverageFruitWidth_cm;MinFruitWidth_cm;MaxFruitWidth_cm;FruitSizeCategorical;FruitShape;Conspicuousness
Acanthophoenix crinita;Acanthophoenix;crinita;Areceae;Arecoideae;0;0;1;1;1;1;10;20;canopy;15;2.3;NA;NA;0.65;0.6;0.7;0.5;NA;NA;small;NA;cryptic
Acanthophoenix rousselii;Acanthophoenix;rousselii;Areceae;Arecoideae;0;0;1;1;1;1;25;30;canopy;NA;3;NA;NA;2;NA;NA;0.8;NA;NA;small;ovoid;cryptic
Acanthophoenix rubra;Acanthophoenix;rubra;Areceae;Arecoideae;0;0;1;1;1;1;15;18;canopy;20;3.1;3;NA;1;NA;NA;0.7;NA;NA;small;ovoid;cryptic
Acoelorrhaphe wrightii;Acoelorrhaphe;wrightii;Trachycarpeae;Coryphoideae;0;0;1;0;0;1;9.1;15;canopy;25;1.3;0.7;0.65;0.7;NA;NA;0.7;0.5;0.9;small;ovoid;cryptic
Acrocomia aculeata;Acrocomia;aculeata;Cocoseae;Arecoideae;0;0;1;1;1;1;12;50;canopy;30;3.5;2.5;NA;4.25;3.5;5;4.6;3.8;5.4;large;ovoid;cryptic
Acrocomia crispa;Acrocomia;crispa;Cocoseae;Arecoideae;0;0;1;1;1;1;18;35;canopy;15;3;NA;0.65;2.5;NA;NA;1.8;NA;NA;small;globose;conspicuous
Acrocomia emensis;Acrocomia;emensis;Cocoseae;Arecoideae;0;1;0;1;1;1;0;NA;understorey;NA;NA;NA;NA;2;NA;NA;2;NA;NA;small;NA;NA
Acrocomia glaucescens;Acrocomia;glaucescens;Cocoseae;Arecoideae;0;0;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acrocomia hassleri;Acrocomia;hassleri;Cocoseae;Arecoideae;0;1;0;1;1;1;0;NA;understorey;6;0.9;0.54;0.51;2.25;1.5;3;2.25;1.5;3;small;NA;cryptic
Acrocomia intumescens;Acrocomia;intumescens;Cocoseae;Arecoideae;0;0;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;4.6;3.8;5.4;4.6;3.8;5.4;large;NA;cryptic
Acrocomia media;Acrocomia;media;Cocoseae;Arecoideae;0;0;1;1;1;1;15;30;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;cryptic
Acrocomia totai;Acrocomia;totai;Cocoseae;Arecoideae;0;0;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;3;2.5;3.5;3;2.5;3.5;small;NA;conspicuous
Actinokentia divaricata;Actinokentia;divaricata;Areceae;Arecoideae;0;0;1;1;0;0;9;9;canopy;7;2.35;2.1;1.3;2.6;1.8;3.4;1.1;0.8;1.4;small;globose;conspicuous
Actinokentia huerlimannii;Actinokentia;huerlimannii;Areceae;Arecoideae;0;0;1;1;0;0;9;36;canopy;10;1.2;NA;0.22;3;NA;NA;1.3;NA;NA;small;globose;NA
Actinorhytis calapparia;Actinorhytis;calapparia;Areceae;Arecoideae;0;0;1;1;0;0;40;30;canopy;13;4.76;4.3;0.51;10;NA;NA;5.5;5;6;large;ovoid;conspicuous
Adonidia maturbongsii;Adonidia;maturbongsii;Areceae;Arecoideae;0;0;1;1;0;0;NA;NA;NA;NA;NA;NA;NA;2.3;NA;NA;1;NA;NA;small;NA;conspicuous
Adonidia merrillii;Adonidia;merrillii;Areceae;Arecoideae;0;0;1;1;0;0;7;30;canopy;17;2.2;2;0.22;2.5;NA;NA;1.3;NA;NA;small;elongate;conspicuous
Aiphanes acanthophylla;Aiphanes;acanthophylla;Cocoseae;Arecoideae;0;0;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1.4;NA;NA;1.4;NA;NA;small;NA;conspicuous
Aiphanes acaulis;Aiphanes;acaulis;Cocoseae;Arecoideae;0;1;0;1;0;1;0;NA;understorey;10;1.83;1.33;0.33;1;NA;NA;1;NA;NA;small;NA;conspicuous
Aiphanes bicornis;Aiphanes;bicornis;Cocoseae;Arecoideae;0;0;1;1;1;1;0.5;2.5;understorey;13;0.54;0.54;NA;0.6;NA;NA;0.8;NA;NA;small;ovoid;conspicuous
Aiphanes buenaventurae;Aiphanes;buenaventurae;Cocoseae;Arecoideae;0;0;1;2;NA;1;4;NA;understorey;8;0.22;0.78;0.25;NA;NA;NA;NA;NA;NA;NA;NA;NA
Aiphanes chiribogensis;Aiphanes;chiribogensis;Cocoseae;Arecoideae;0;0;1;1;1;1;3;6;understorey;9;1.45;1;0.5;1.1;NA;NA;1.1;1;1.2;small;globose;conspicuous
