Genus_species_name;Cell length um;Cell width um;Cell thickness um;Geometrical shape of the cell;Cell surface area um_;Cell biovolume um3;Number of cells per colony;Colony thickness (takes into account mucilage) um;Geometrical shape of the colony;Mobility apparatus;Mobility apparatus: Flagella;Mobility apparatus: Raphe;Colonial;Filament;Heterotrophic;Mixotrophic;Autotrophic
Acanthoceras_zachariasi;50;14;7;box;2296;4900;1;NA;NA;0;0;0;0;0;0;1;0
Acanthosphaera_sp.;11.5;11.5;11.5;sphe;415.265;795.924583333333;1;NA;NA;0;0;0;0;0;0;0;1
Achnanthes_catenata;13.5;3.5;3.5;box;266.875;132.3;1;NA;NA;1;0;1;1;1;0;1;0
Achnanthes_clevei;20;7.5;3.5;box;615.625;420;1;NA;NA;1;0;1;0;0;0;1;0
Achnanthes_coarctata;16;3.5;3.5;box;310.625;156.8;1;NA;NA;1;0;1;0;0;0;1;0
Achnanthes_conspicua;6.5;3.5;1.5;box;107.857142857143;23.8875;1;NA;NA;1;0;1;0;0;0;1;0
Achnanthes_exigua;17;7;2;box;417.5;190.4;1;NA;NA;1;0;1;0;0;0;1;0
Achnanthes_exilis;20;5;3;box;437.5;225;1;NA;NA;1;0;1;0;0;0;1;0
Achnanthes_flexella;39;18.4;5;box;2870.28571428571;2511.6;1;NA;NA;1;0;1;0;0;0;1;0
Achnanthes_lanceolata;23;7;4;box;936.666666666667;386.4;1;NA;NA;1;0;1;0;0;0;1;0
Achnanthes_minutissima;35;4;3;box;642.5;315;1;NA;NA;1;0;1;0;0;0;1;0
Achnanthes_sp.;30;4;3;box;555;270;1;NA;NA;1;0;1;0;0;0;1;0
Achnanthidium_catenatum;13.5;3.5;3.5;box;266.875;132.3;1;NA;NA;1;0;1;1;1;0;1;0
Achnanthidium_minutissimum;15;3.5;3;box;270;118.125;1;NA;NA;1;0;1;0;0;0;1;0
Achroonema_articulatum;3;3;3;trel;96.9067012459253;14.13;30;3;tube;0;0;0;1;1;0;0;1
Actinastrum_aciculare;22;3;3;cone;646.250254689714;51.81;8;NA;NA;0;0;0;1;0;0;0;1
Actinastrum_gracillimum;22.5;3;3;ell;660.834698213517;105.975;6;NA;NA;0;0;0;1;0;0;0;1
Actinastrum_hantzschii;42;5;5;ell;2050.39368009131;549.5;8;NA;NA;0;0;0;1;0;0;0;1
Actinotaenium_cruciferum;15;12;12;ell;2211.3412553863;904.32;1;NA;NA;0;0;0;0;0;0;0;1
Actinotaenium_sp.;24;11;12;ell;3378.10222202515;1326.336;1;NA;NA;0;0;0;0;0;0;0;1
Amphidinium_sp.;10;9;9;ell;990.071350128261;381.51;1;NA;NA;1;1;0;0;0;0;1;0
Amphikrikos_minutissimus;5.5;3.5;3.5;ell;195.232765590147;35.2595833333333;1;NA;NA;0;0;0;0;0;0;0;1
Amphikrikos_sp.;6;4;4;ell;242.192026162542;50.24;1;NA;NA;0;0;0;0;0;0;0;1
Amphipleura_pellucida;96;7.5;5;box;3535.71428571429;2520;1;NA;NA;1;0;1;0;0;0;1;0
Amphora_coffeaeformis;37;9.5;4;box;1343.75;1124.8;1;NA;NA;1;0;1;0;0;0;1;0
Amphora_copulata;41;19;4;box;2547.5;2492.8;1;NA;NA;1;0;1;0;0;0;1;0
Amphora_inariensis;20;5;3.5;box;468.75;280;1;NA;NA;1;0;1;0;0;0;1;0
Amphora_libyca;41;19;4;box;2547.5;2492.8;1;NA;NA;1;0;1;0;0;0;1;0
Amphora_ovalis;60;40;18;box;10500;32400;1;NA;NA;1;0;1;0;0;0;1;0
Amphora_pediculus;15;4;3;box;292.5;135;1;NA;NA;1;0;1;0;0;0;1;0
Amphora_sp.;40;15;10;box;2875;4500;1;NA;NA;1;0;1;0;0;0;1;0
Anabaena_affinis;7;7;7;trel;490.831814580554;179.503333333333;14;7;tube;0;0;0;1;1;0;0;1
Anabaena_aphanizomenoïdes;4;4;4;trel;166.375913544823;33.4933333333333;25;4;tube;0;0;0;1;1;0;0;1
Anabaena_bergii;5.2;5.2;5.2;trel;275.225136118872;73.5848533333333;19;5.2;tube;0;0;0;1;1;0;0;1
Anabaena_bergii_var._limneticum;5.2;5.2;5.2;trel;275.225136118872;73.5848533333333;19;5.2;tube;0;0;0;1;1;0;0;1
Anabaena_circinalis;8;8;8;trel;637.801284913898;267.946666666667;10;8;tube;0;0;0;1;1;0;0;1
Anabaena_circinalis_f._tenuis;8;6;8;trel;561.489929533629;200.96;10;8;tube;0;0;0;1;1;0;0;1
Anabaena_flos-aquae;5;5;5;trel;255.147988149711;65.4166666666667;20;5;tube;0;0;0;1;1;0;0;1
Anabaena_flos-aquae_f._lemmermannii;3.5;3.5;3.5;trel;129.234514910744;22.4379166666667;29;3.5;tube;0;0;0;1;1;0;0;1
Anabaena_flos-aquae_var._treleasii;3.5;3.5;3.5;trel;129.234514910744;22.4379166666667;29;3.5;tube;0;0;0;1;1;0;0;1
Anabaena_macrospora;9;9;9;trel;804.211044280165;381.51;11;9;tube;0;0;0;1;1;0;0;1
Anabaena_oscillarioides;5;5;5;trel;255.147988149711;65.4166666666667;20;5;tube;0;0;0;1;1;0;0;1
Anabaena_oscillarioides_f._elliptica;5;5;5;trel;255.147988149711;65.4166666666667;20;5;tube;0;0;0;1;1;0;0;1
Anabaena_solitaria;11;11;5;trel;905.845108200298;316.616666666667;9;5;tube;0;0;0;1;1;0;0;1
Anabaena_solitaria_var._planctonica;7.5;7.5;4;trel;442.70533389078;117.75;13;4;tube;0;0;0;1;1;0;0;1
Anabaena_sp.;4;4;4;trel;166.375913544823;33.4933333333333;25;4;tube;0;0;0;1;1;0;0;1
Anabaena_spiroides;7;7;7;trel;490.831814580554;179.503333333333;14;7;tube;0;0;0;1;1;0;0;1
Anabaena_spiroides_f._minima;7;7;7;trel;490.831814580554;179.503333333333;14;7;tube;0;0;0;1;1;0;0;1
Ankistrodesmus_falcatus;43.5;3;3;ell;1274.06356538843;204.885;20;55;trel;0;0;0;1;0;0;0;1
Ankistrodesmus_fusiformis;39.5;2;2;ell;771.463996771164;82.6866666666667;4;40;trel;0;0;0;1;0;0;0;1
Ankistrodesmus_gracilis;40;1.2;1.2;ell;468.721383562889;30.144;1;NA;NA;0;0;0;1;0;0;0;1
Ankistrodesmus_nannoselene;7;1.5;1.5;ell;105.178245981547;8.2425;1;NA;NA;0;0;0;1;0;0;0;1
Ankistrodesmus_sp.;50;4;4;ell;2440.00821516512;334.933333333333;1;NA;NA;0;0;0;1;0;0;0;1
Ankyra_flagellated_zoospore;6;6;6;ell;363.288039243813;113.04;1;NA;NA;0;0;0;0;0;0;0;1
Ankyra_inerme;18;2.5;2.5;ell;441.361320878615;58.875;1;NA;NA;0;0;0;0;0;0;0;1
Ankyra_judayi;25;3;3;ell;733.775420115135;117.75;1;NA;NA;0;0;0;0;0;0;0;1
Ankyra_lanceolata;65;3.5;3.5;ell;3699.16526206724;250.0225;1;NA;NA;0;0;0;0;0;0;0;1
Aphanizomenon_flos-aquae;5;5;5;trel;255.147988149711;65.4166666666667;20;5;tube;0;0;0;1;1;0;0;1
Aphanizomenon_flos-aquae_var._gracile;5;3.5;3.5;trel;178.603591704798;32.0541666666667;20;3.5;tube;0;0;0;1;1;0;0;1
Aphanizomenon_issatschenkoi;10;3.5;3.5;trel;346.524972544891;64.1083333333333;10;3.5;tube;0;0;0;1;1;0;0;1
Aphanocapsa;2;2;2;trel;46.598803022074;4.18666666666667;50;50;trel;0;0;0;1;0;0;0;1
Aphanocapsa_conferta;1.7;1.7;1.7;trel;35.1969656342795;2.57113666666667;70;50;trel;0;0;0;1;0;0;0;1
Aphanocapsa_delicatissima;0.75;0.75;0.75;trel;9.92645538167947;0.22078125;4000;70;trel;0;0;0;1;0;0;0;1
Aphanocapsa_delicatissima_(single_cell);0.75;0.75;0.75;sphe;1.76625;0.22078125;1;NA;NA;0;0;0;1;0;0;0;1
Aphanocapsa_delicatissima_colony_10_um;0.75;0.75;0.75;trel;9.92645538167947;0.22078125;20;10;trel;0;0;0;1;0;0;0;1
Aphanocapsa_elachista;2;2;2;trel;46.598803022074;4.18666666666667;75;15;trel;0;0;0;1;0;0;0;1
Aphanocapsa_elachista_colony_10_um;2;2;2;trel;46.598803022074;4.18666666666667;35;10;trel;0;0;0;1;0;0;0;1
Aphanocapsa_elachista_var._conferta;2;2;2;trel;46.598803022074;4.18666666666667;1250;50;trel;0;0;0;1;0;0;0;1
Aphanocapsa_grevillei;4.5;4.5;4.5;trel;208.344037844419;47.68875;110;100;trel;0;0;0;1;0;0;0;1
Aphanocapsa_grevillei_(single_cell);4.5;4.5;4.5;sphe;63.585;47.68875;1;NA;NA;0;0;0;1;0;0;0;1
Aphanocapsa_holsatica;1.5;1.5;1.5;trel;28.5265602043515;1.76625;370;50;trel;0;0;0;1;0;0;0;1
Aphanocapsa_holsatica_(single_cell);1.5;1.5;1.5;sphe;7.065;1.76625;1;NA;NA;0;0;0;1;0;0;0;1
Aphanocapsa_holsatica_colony_10_um;1.5;1.5;1.5;trel;28.5265602043515;1.76625;6;10;trel;0;0;0;1;0;0;0;1
Aphanocapsa_incerta;1;1;1;trel;15.034062444858;0.523333333333333;130;35;trel;0;0;0;1;0;0;0;1
Aphanocapsa_incerta_(50_cells);1;1;1;trel;15.034062444858;0.523333333333333;50;50;trel;0;0;0;1;0;0;0;1
Aphanocapsa_musicola;3.1;3.1;3.1;trel;102.988005851723;15.5906233333333;96;70;trel;0;0;0;1;0;0;0;1
Aphanocapsa_nubilum_colony_20_um;1.6;1.6;1.6;sphe;8.0384;2.14357333333333;30;20;trel;0;0;0;1;0;0;0;1
Aphanocapsa_parasitica_f._dinobryonis;1.9;1.9;1.9;trel;42.6108783067707;3.58954333333333;100;9;trel;0;0;0;1;0;0;0;1
Aphanocapsa_parasitica_f._dinobryonis_single_cell;1.9;1.9;1.9;ell;42.6108783067707;3.58954333333333;1;NA;NA;0;0;0;1;0;0;0;1
Aphanocapsa_planctonica;2.5;2.5;2.5;trel;69.372421357192;8.17708333333333;2900;40;trel;0;0;0;1;0;0;0;1
