Sp;LYW;LAL;LPW;LPH;LEW;LFL;LTR;LRL;LFW;LTL;CLG;CLB;WIN;PRS;OVE;FOA;DAY;BRE;EME;ACT
sp1;-0.03;0.1;-0.03;0;0.01;0.05;0.05;0.06;0.01;1.82;black;black;dimorph;oval;adults;general;noct;spring;autumn;autumn
sp2;-0.02;0.07;-0.02;-0.01;0.02;0.02;0.03;0.01;0.04;1.92;black;metallic;macro;oval;adults;general;noct;spring;summer;summer
sp3;-0.06;-0.14;0.1;0.03;0.04;-0.06;0.05;-0.04;0.05;1.9;pale;metallic;macro;trapez;adults;plant;diurn;spring;summer;summer
sp4;-0.04;-0.11;0.06;0.01;0.02;-0.09;-0.01;-0.1;0.06;1.94;pale;pale;macro;trapez;larvae;plant;noct;autumn;summer;summer
sp5;0;-0.07;0.06;0.03;0.01;-0.04;0.05;-0.03;0.09;2.13;pale;pale;macro;trapez;larvae;plant;noct;autumn;summer;summer
sp6;-0.1;-0.06;0.08;0.02;0.02;-0.06;0.03;-0.06;0.08;1.85;pale;pale;macro;trapez;larvae;plant;noct;autumn;summer;summer
sp7;-0.09;-0.09;0.13;0.03;0.03;-0.07;0.01;-0.07;0.03;1.91;black;black;macro;trapez;larvae;plant;diurn;spring;summer;autumn
sp8;-0.07;-0.13;0.13;0.03;0.06;-0.04;0.05;-0.01;0.07;2.06;pale;metallic;macro;trapez;larvae;plant;diurn;autumn;summer;autumn
sp9;-0.07;-0.09;0.1;0.02;0.03;-0.06;0.02;-0.07;0.04;1.87;pale;black;macro;trapez;adults;plant;diurn;spring;summer;autumn
sp10;-0.23;-0.1;0.11;0.01;0.02;-0.07;0;-0.06;0.02;1.95;black;black;macro;trapez;adults;plant;diurn;spring;summer;summer
sp11;-0.02;-0.08;0.08;0.02;0.02;-0.03;0;-0.02;0.02;1.9;pale;metallic;macro;trapez;adults;plant;diurn;spring;summer;summer
sp12;0.05;0.16;-0.1;-0.02;0.01;0.08;0.01;0.13;-0.03;1.86;metallic;pale;macro;cordi;adults;general;noct;spring;summer;summer
sp13;0.3;0.01;-0.07;0.03;-0.01;0.05;0.02;0.08;-0.02;1.69;pale;metallic;macro;cordi;adults;coll;diurn;spring;summer;summer
sp14;0.04;0.06;0;-0.01;0.03;0.02;0.04;0.02;0;1.66;black;black;dimorph;oval;larvae;general;noct;spring;summer;autumn
sp15;-0.02;0.06;-0.05;-0.03;0.01;0.02;0;0;-0.04;1.71;pale;pale;macro;cordi;adults;general;diurn;spring;summer;autumn
sp16;0.03;0.06;0;0.01;0.01;0.03;0.04;0.03;-0.02;1.56;pale;black;dimorph;oval;adults;general;noct;spring;summer;autumn
sp17;0.19;0.04;-0.01;0.02;0;0.02;0.03;0.05;-0.01;1.6;pale;black;dimorph;cordi;adults;coll;diurn;spring;summer;autumn
sp18;0.07;0.07;0.04;0.03;0.02;0.05;0.05;0.02;0.04;1.53;pale;black;apter;oval;adults;general;noct;spring;summer;autumn
sp19;-0.02;0.04;0.02;0.01;0.01;0.02;0.02;0.04;0.01;1.51;pale;pale;dimorph;oval;adults;general;noct;autumn;summer;autumn
sp20;-0.02;0.07;-0.05;-0.02;0.01;0.04;0.03;0.01;0.02;1.76;pale;pale;dimorph;cordi;adults;general;noct;spring;summer;autumn
sp21;-0.04;-0.06;-0.02;-0.02;0.02;-0.05;-0.03;-0.12;-0.06;1.69;pale;pale;dimorph;oval;larvae;plant;noct;autumn;summer;summer
