Sp;THORAX;MII;EW;HL;ML;TT;SL;MHLT;FEMUR;SCUL;MP
sp1;0.6945;0.642928524334568;0.125938696047006;0.799742078877421;0.436903661070082;0.0538773174544595;0.677411997893506;0.13741452734503;0.625228583631546;2;4
sp2;2.15;0.669767441860465;0.0302325581395349;0.706976744186047;0.567441860465116;0.0962790697674419;0.416744186046512;0.10093023255814;0.553488372093023;0.5;5
sp3;0.511;0.603;0.154;0.912857071734127;0.519412753669811;0.0626156090947736;0.625189091480064;0.129099216060234;0.600769003933103;0.5;2
sp4;1.895;0.461602610587382;0.099199531433034;0.678431974117253;0.426313660958331;0.0336559379706588;0.905491716405422;0.169897361521727;0.863627489262007;2;5
sp5;1.73;0.326013345747983;0.172962704324436;0.659512725015518;0.310259155803849;0.0681769863438858;0.761195168632319;0.155606507345334;0.734554107179805;0.5;6
sp6;6.595;0.259394215965558;0.124299582376856;0.594611693448018;0.30917941200874;0.0646542624295895;0.780724802020817;0.0949325165251542;0.797916032856708;0;6
sp7;2.695;0.358280100658149;0.12394018583043;0.626355013550135;0.273078784359272;0.0279229578010066;0.723964382500968;0.130903987611305;0.737369337979094;0;6
sp8;1.0525;0.517641627037259;0.196952767902489;1.02951428967173;0.31315157671176;0.101819105221848;0.792164919894732;0.274606399187405;0.746331778937162;0;6
sp9;4.97;0.396378269617706;0.130583501006036;0.724346076458753;0.366197183098592;0.0645875251509054;0.641851106639839;0.131790744466801;0.714285714285714;0;6
sp10;6.58333333333333;0.478294814955764;0.186055877063759;0.750788501528842;0.365419909073238;0.0721779726056998;0.790000587852283;0.27294536713796;0.763967240769321;1.5;6
sp11;1.72;0.336941648928669;0.159555486646997;0.635972744190811;0.297233667388649;0.0473974861479593;0.758279839612122;0.163129709091339;0.736332523382864;0.5;6
sp12;4.46333333333333;0.32262914617774;0.127881492507199;0.661565626014977;0.352063706858011;0.0630357189407788;0.776402359236384;0.146543279586276;0.783369606908239;0;6
sp13;2.325;0.494809016211415;0.141777703753054;0.632328447701532;0.370922163002443;0.0710359760159893;0.505357539418166;0.13285309793471;0.636547856984233;1;6
sp14;4.8;0.434638426838193;0.221009265114619;1.00395448317053;0.489000208080115;0.0774904353810877;1.08915360320081;0.1702421483299;1.06371601646171;0;6
sp15;3.46;0.332369942196532;0.0991329479768786;0.540462427745665;0.303468208092486;0.057514450867052;0.716763005780347;0.122832369942197;0.797687861271676;0;6
sp16;0.58875;0.57937486935943;0.577467262777538;0.882453768164666;0.409875600513428;0.0674575079363734;0.662009096388208;0;0.641805810621321;2.5;5
sp17;2.57333333333333;0.577691924223417;0.154352778335937;0.865354043506403;0.400283534646375;0.0624481146307508;0.656655826372509;0;0.571196589603083;1.5;5
sp18;1.1075;0.50506559157754;0.167759859625668;0.725336313502674;0.376236631016043;0.0711;0.432555564839572;0.235847677139037;0.618963068181818;1.5;4
sp19;3.76;0.412234042553192;0.168617021276596;0.752659574468085;0.372340425531915;0.0711;0.420212765957447;0.257446808510638;0.521276595744681;1.5;4
sp20;0.965;0.397927461139896;0.122279792746114;0.730569948186528;0.393782383419689;0.0259067357512953;0.406217616580311;0.265284974093264;0.500518134715026;0.5;4
sp21;4.23333333333333;0.829098323043383;0.157577257471857;0.92751378092612;0.486965130427836;0.0690111450880781;0.761922055876209;0.227519998106363;0.836955033111239;1;5
sp22;0.622;0.75384495641345;0.178663345786633;0.84961602324616;0.484941884599419;0.0759755085097551;0.79675695309257;0.240447281029473;0.749169779991698;1.5;5
sp23;0.7722;0.823290185453848;0.164272375630879;0.936190534254291;0.527954021428687;0.0798508448836888;0.811751252794902;0.264195063358047;0.783634336921663;1.4;5
sp24;0.6565;0.827125112728828;0.18018482879164;0.925714026720219;0.519191792411607;0.0786440465233035;0.825479504272074;0.276141466543943;0.811946234159856;1.5;5
sp25;0.781;0.710627400768246;0.152368758002561;0.82842509603073;0.408450704225352;0.0499359795134443;0.676056338028169;0.189500640204866;0.781049935979513;1.5;5
sp26;1.5;0.404110996916752;0.146869833325886;0.686782251217659;0.357055721882122;0.0649023638232271;0.728629518745252;0.161057241163591;0.695607489163948;2.5;6
sp27;1.38;0.669565217391304;0.131159420289855;0.710144927536232;0.642753623188406;0.104347826086957;0.514492753623188;0.077536231884058;0.731884057971015;2.5;5
sp29;0.71;0.603;0.154;0.771830985915493;0.370422535211268;0.0577464788732394;0.485915492957746;0.0549295774647887;0.419718309859155;0.5;1
sp30;1.017;0.427135159820367;0.160343185974757;0.811835330028298;0.336066301244498;0.0417690806425123;0.773044047239631;0.118875033737407;0.807596617518789;0.416666666666667;6
sp31;3.015;0.40165070190218;0.0888832784335551;0.666284907854008;0.372317032187905;0.0528069539290034;0.684602627145262;0.0753909653907772;0.923081154269273;0;6
sp32;1.1565;0.429367301231803;0.149335204958756;0.74509486932795;0.380493036607101;0.0592065832847026;0.743599671939814;0.0929577464788733;0.746301436840528;0.25;6
sp33;2.51;0.378877091377091;0.10393018018018;0.645366795366795;0.351480051480051;0.0595511583011583;0.698246460746461;0.0774420849420849;0.890041827541827;0.5;6
sp34;1.675;0.371903334047262;0.129770828871279;0.704611979724423;0.358067394873992;0.0516527450560434;0.775665738559292;0.100028557149996;0.803937317055758;0.5;6
sp35;1.17333333333333;0.412917144267152;0.145898331693173;0.74866282258041;0.396656297695087;0.0598070348524667;0.733713480452992;0.120269323019242;0.753236291566833;0.5;6
sp36;1.2;0.440833333333333;0.130833333333333;0.803333333333333;0.4;0.0633333333333333;0.751666666666667;0.108333333333333;0.784166666666667;0.5;6
sp37;0.887;0.425028184892897;0.190529875986471;0.821871476888388;0.432919954904171;0.0879368658399098;0.804960541149944;0.0586245772266065;0.722660653889515;0;6
sp38;2.705;0.330318436517698;0.102052070520705;0.584071340713407;0.347672543392101;0.043416700833675;0.549022823561569;0.0659894765614323;0.54716413830805;0.5;4
sp39;0.544;0.753676470588235;0.136029411764706;0.911764705882353;0.461397058823529;0.0643382352941177;0.5;0.158088235294118;0.625;2;4
sp40;6.92333333333333;0.397233393608422;0.108494500798148;0.597272516258867;0.329443041481529;0.0623860410613599;0.846824657666009;0.0235910878112713;0.756304938381466;0;6
sp41;1.04;0.682692307692308;0.134615384615385;0.867307692307692;0.526923076923077;0.125961538461538;0.626923076923077;0.0711538461538462;0.632692307692308;0.5;6
sp42;1.7975;0.451218650653479;0.10579418344519;0.639196985752973;0.390097727540327;0.0782244201106794;0.705592841163311;0;0.698657718120805;0.75;6
sp43;0.739;0.545331529093369;0.15426251691475;0.755074424898512;0.435723951285521;0.106901217861976;0.776725304465494;0;0.629228687415426;1;6
sp44;0.526;0.644486692015209;0.184410646387833;0.844106463878327;0.480988593155894;0.100760456273764;0.847908745247148;0;0.667300380228137;0;6
sp45;1.24;0.54897415663839;0.142286447030973;0.687301900440586;0.407223647004669;0.0783422108239626;0.853988294864207;0.0433320181495364;0.697981192871704;0.25;6
sp46;1.21;0.518181818181818;0.159504132231405;0.632231404958678;0.355371900826446;0.0495867768595041;0.825619834710744;0.2;0.689256198347107;0;6
sp47;0.4305;0.541893424036281;0.181179138321995;1.02522675736961;0.425680272108844;0.0697845804988662;0.938775510204082;0.144444444444444;0.746145124716553;0;6
sp48;0.8215;0.958283671036949;0.184903847864373;1.03819401206127;0.548001203754766;0.112325737225671;0.739279615035668;0.271941099034031;0.813309050694086;3;5
sp49;1.255;1.09418308963763;0.143852511125238;1.04275270184361;0.599411951684679;0.0733725365543547;0.646929434202161;0.330715193897012;0.837622377622378;3;5
sp50;0.505;0.948514851485148;0.215841584158416;1.03366336633663;0.615841584158416;0.0891089108910891;0.776237623762376;0.15049504950495;0.883168316831683;3;5
sp51;1.765;1.42248263888889;0.402689236111111;1.69152777777778;0.87125;0.149135416666667;1.10380208333333;0.323067708333333;1.17505208333333;3;5
sp52;3.195;1.05376328268841;0.192388935299623;1.0666784521321;0.619255137922528;0.11673488726642;0.803757123729745;0.315976574023213;0.857068887197758;3;5
sp53;3.325;0.867504528985507;0.170946557971014;0.941553442028985;0.480321557971015;0.0934963768115942;0.614719202898551;0.187712862318841;0.749932065217391;3;5
sp54;0.585;0.947521201367286;0.200592253093656;1.09582606758802;0.551713822008343;0.0850066702935773;0.762604349977998;0.25580034367263;0.753181890302197;3;5
sp55;1.09;1.00952380952381;0.154711335861778;0.910176991150442;0.435284450063211;0.0557648546144121;0.674757690686894;0.249426885798567;0.840998735777497;3;5
sp56;0.703;0.950213371266003;0.210526315789474;1.06116642958748;0.509246088193457;0.0554765291607397;0.654338549075391;0.190611664295875;0.783783783783784;3;5
sp57;0.5785;0.661349671538301;0.0949583680809275;0.870400145076167;0.463665809081289;0.073921605854772;0.683735488504599;0.235992051108447;0.674672475312493;0.416666666666667;5
sp58;0.7175;0.752687639384262;0.110791547194443;0.929831922978297;0.476719428709078;0.0591688618473708;0.641997109354967;0.173467841574003;0.613366513586809;1;5
sp59;0.472;0.687278611885283;0.11505888699092;0.959394947406275;0.430176211453745;0.0942956037040367;0.721145374449339;0.246251011417783;0.620111480715634;0;5
sp60;0.4165;0.66752815427255;0.144963805826151;0.933391610436084;0.480654535673773;0.0770631848534107;0.672419337862965;0;0.579431301236098;0.5;5
sp61;0.40275;0.688006619852499;0.463049405867968;0.990404609779049;0.485442807950315;0.0794718001289501;0.696912512064426;0.0776053215077605;0.6312445731487;0.5;5
sp62;0.732;0.650306954839795;0.0875508087348975;0.890359655762061;0.434872312393126;0.0789869088666499;0.600086900456928;0.173789700894234;0.677252964426877;0.5;5
sp63;3.475;0.811456570081981;0.121657290318298;0.94771233695111;0.527373958644495;0.0622124863088719;0.724219190812838;0.212727770586478;0.661040857645458;1.5;5
sp64;0.772;0.634715025906736;0.10880829015544;0.838082901554404;0.384715025906736;0.0582901554404145;0.737046632124352;0.186528497409326;0.778497409326425;1.5;5
sp65;3.26;0.401840490797546;0.170552147239264;0.619631901840491;0.702453987730061;0.115644171779141;0.549079754601227;0.0960122699386503;0.647239263803681;2;6
sp66;8.2;0.34120625465376;0.161377513030529;0.48078183172003;0.627736411020104;0.120201042442293;0.599002233804914;0.0278741623231571;0.690357408786299;0.5;6
