Species Name;Gram;Trait 1;Trait 2;Trait 3;Trait 4;Trait 5;Trait 6;Trait 7;Trait 8;Trait 9;Trait 10;Trait 11;Trait 12;Trait 13;Trait 14;Trait 15;Trait 16;Trait 17;Trait 18;Trait 19;Trait 20;Trait 21;Trait 22;Trait 23;Trait 24;Trait 25;Trait 26;Trait 27;Trait 28;Trait 29;Trait 30;Trait 31;Trait 32;Trait 33;Trait 34;Trait 35;Trait 36;Trait 37;Trait 38;Trait 39;Trait 40;Trait 41;Trait 42;Trait 43;Trait 44;Trait 45;Trait 46;Trait 47;Trait 48;Trait 49;Trait 50;Trait 51;Trait 52;Trait 53;Trait 54;Trait 55;Trait 56;Trait 57;Trait 58;Trait 59;Trait 60;Trait 61;Trait 62;Trait 63;Trait 64;Trait 65;Trait 66;Trait 67;Trait 68;Trait 69;Trait 70;Trait 71;Trait 72;Trait 73;Trait 74;Trait 75;Trait 76;Trait 77;Trait 78;Trait 79;Trait 80;Trait 81;Trait 82;Trait 83;Trait 84;Trait 85;Trait 86;Trait 87;Trait 88;Trait 89;Trait 90;Trait 91;Trait 92;Trait 93;Trait 94;Trait 95;Trait 96
Actinomyces bovis;GP;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;100;0;100;0;0;0;100;0;100;0;0;0;0;86;0;0;0;0;32;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;27;91;73;0;0;0;0;0;0;0
Actinomyces canis;GP;0;0;45;100;100;0;69;6;56;52;24;0;98;24;0;2;100;56;87;10;10;98;100;5;98;97;100;98;13;100;0;45;76;97;79;66;2;2;11;56;29;0;98;0;2;0;0;95;6;3;63;0;97;40;0;2;3;0;2;0;0;0;8;0;0;85;6;0;79;0;3;0;0;0;0;0;0;0;0;2;0;2;2;97;100;100;100;94;100;71;65;66;0;0;0;2
Actinomyces hordeovulneris;GP;0;100;100;100;100;0;80;0;0;100;95;12;8;0;52;100;98;2;98;20;50;0;100;0;100;98;95;100;0;100;10;100;92;98;100;58;42;5;80;100;100;0;0;95;2;5;100;100;18;100;100;0;8;28;5;2;0;0;5;10;2;0;62;0;0;82;5;40;85;2;12;0;0;0;0;0;0;0;0;0;0;0;2;5;100;95;95;100;98;0;32;2;2;2;0;2
Actinomyces hyovaginalis;GP;0;0;0;86;0;0;4;0;29;29;11;0;100;0;68;0;100;36;100;0;4;68;100;100;11;0;54;54;0;100;0;4;7;14;89;0;11;0;0;0;0;0;100;71;0;0;0;100;4;0;89;0;93;21;0;0;0;0;0;0;0;0;0;0;0;89;18;0;89;0;36;0;0;0;0;0;0;0;0;0;0;0;0;89;100;100;100;100;100;93;96;100;46;0;57;89
Actinomyces naeslundii;GP;0;0;31;100;25;75;50;0;0;94;75;0;0;0;50;19;100;0;94;0;19;0;94;25;6;12;100;100;0;100;12;100;56;38;88;69;81;0;75;88;94;0;62;0;0;0;100;100;0;62;94;0;0;6;100;0;0;0;6;0;0;6;100;0;6;100;19;12;100;0;6;0;0;0;0;0;0;6;12;12;12;0;0;100;75;6;56;12;81;6;6;6;12;0;0;12
Actinomyces neuii ss anitratus;GP;2;0;0;100;5;0;48;0;0;0;0;0;0;100;0;0;38;0;20;0;0;92;0;80;0;0;100;100;100;0;95;100;62;40;0;82;0;0;62;0;100;0;100;5;0;12;88;100;0;82;85;2;8;0;0;0;0;0;0;0;0;18;0;0;0;100;0;0;100;0;0;0;30;0;25;8;58;0;60;0;10;8;0;100;42;0;78;0;100;0;0;0;0;0;0;100
Actinomyces neuii ss neuii;GP;0;0;0;46;18;0;25;0;0;0;0;0;0;100;0;0;50;0;57;0;0;0;0;100;0;0;68;75;100;32;50;100;64;54;0;32;0;79;4;0;100;0;100;0;0;0;89;50;0;29;29;0;86;18;0;0;0;0;0;0;0;7;50;0;0;100;0;0;100;0;0;0;57;0;36;39;75;0;54;0;43;11;0;100;43;0;61;0;100;0;0;0;0;0;0;86
Actinomyces odontolyticus;GP;0;0;29;100;8;25;67;0;0;83;71;0;0;0;42;42;100;0;83;0;50;0;100;71;96;33;100;100;0;100;0;100;42;21;100;83;83;0;58;100;83;0;33;67;0;46;83;100;0;100;100;0;0;12;83;0;0;0;0;0;0;0;100;0;0;100;0;21;100;0;8;0;0;0;0;0;0;0;0;0;0;0;0;100;83;21;8;12;42;0;0;0;0;0;0;0
Actinomyces radingae/turicensis (CDC.E);GP;0;0;0;84;0;0;0;0;0;30;0;0;0;43;0;0;100;75;0;0;0;0;100;0;2;0;52;34;0;100;0;2;0;0;98;0;0;0;0;34;0;0;100;0;2;0;0;100;0;0;20;0;100;0;0;0;0;0;0;0;0;0;45;0;0;32;2;0;86;0;25;0;0;0;0;0;0;0;0;0;0;0;0;100;2;0;0;0;4;0;0;0;0;0;0;64
Actinomyces viscosus;GP;0;0;27;100;41;27;36;0;0;100;55;0;0;0;100;45;100;0;100;0;32;55;100;64;5;14;100;100;0;100;0;36;36;50;86;41;100;0;41;100;86;0;68;100;0;0;73;100;0;36;100;0;0;0;86;0;0;0;0;0;18;27;100;0;0;91;0;5;91;0;5;0;0;0;0;0;0;0;0;0;0;0;0;100;73;0;55;0;55;0;0;5;0;0;0;0
