Sp;bodysize;mobility;density;voltinism;flightperiod;rangesize;fertility;overwinter;trophicrange;hostplant;distribution;RedList;S-Gcontinuum
sp1;12;3;6;1;2.5;2;3;2;1.4;2;22;4;-1.295
sp2;14.5;6;3;3;5;3;2;2;1.4;1;81;3;0.221
sp3;15;4;2;1;3;3;3;2;1;1;11;3;-0.445
sp4;13;2;3.7;2;5;2;4.1;2;1;1;11;5;-0.828
sp5;16;2;3.7;1;3;3;4.1;2;1;1;30;3;-0.826
sp6;14.5;3;4;1;1.5;4;2;1.5;1;2;166;3;-0.883
sp7;13;4;5.5;1;3;3;4;2;3.8;2;564;1;0.064
sp8;12;3;4;1.5;5;3;2;3;2.4;1;343;1;0.161
sp9;17;2;4.5;1;2;3;4;2;1.4;2;55;1;-0.721
sp10;14;3;4;1;1.5;4;2;2;2.6;2;421;1;-0.204
sp11;13;3;3;1;3;3;3;2;1;1;16;3;-0.728
sp12;12;2;5;2;4;3;2;2;1;1;77;3;-0.867
sp13;14;3;5.5;1;2;2;4;2;1;2;535;1;-0.54
sp14;13.5;3;4;2;5;3;2;2;1.4;1;331;1;-0.07
sp15;15.5;4;4;2;3;3;3;2;2.4;2;539;1;0.271
sp16;35;5;1;2.5;7;4;3;3;4.5;1;522;1;2.043
sp17;28.5;3;3.7;1;2;3;4.1;1;1;1;52;5;-0.963
sp18;36;4;1;2.5;6;3;4;3;1.4;3;188;3;1.074
sp19;25;4;3.7;1;2;2;4.1;3;1;1;36;3;-0.372
sp20;24;4;5;2.5;4;2;5;2;1;1;136;1;-0.048
sp21;30.5;7;3;3;8;3;5;3;3.1;1;602;1;2.014
sp22;21.5;4;3;1;2.5;3;2;3;4.1;1;533;1;0.628
sp23;31;7;2;1;1.5;3;7;2;3;3;125;2;0.7
sp24;25;8;3;3.5;12;2;6;5;2;1;314;1;2.491
sp25;22.5;8;3.7;3;7;3;4.1;3;1;1;277;1;1.276
sp26;25;8;3.7;4;7;3;4.1;3;1;1;146;1;1.395
sp27;23;7;3.5;2.5;5;3;5;2;2.2;1;470;1;1.055
sp28;20;7;4;3;6;4;3;3;3.9;1;647;1;1.648
sp29;26;4;3;1;3;4;5;2;1;1;32;3;-0.196
