Sp;BM;troph1;troph2;troph3;troph4;troph5;troph6;troph7;care1;care0;watpos1;watpos2;watpos3;fora1;fora2;fora3;subst1;subst2;subst3;subst4;subst5;subst6;foraloc1;foraloc2;migra1;migra0
sp2;0.73;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;1
sp3;0.7;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1
sp4;3.88;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;0;0;1;0;0;1
sp5;0.27;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1;1;0;1;0;0;1;0;1
sp6;0.48;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;1
sp7;0.65;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;1;1;0;1;0;0;1;0;1
sp8;5.91;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;1;0;1;0
sp9;6.32;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;1;0;0;1;1;0
sp10;1.08;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0
sp11;1.28;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0
sp12;5.07;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0
sp13;13.92;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;1
sp14;0.88;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;1;0;0;1;0;0;1;0;1
sp15;0.51;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;1
sp16;0.36;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;0;0;0;1;0;1
sp17;1.28;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1;1;0;1;0;0;1;1;0
sp18;3.11;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;1;0;1;1;0;0;1;0;1
sp19;0.77;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1;1;0;1;0;0;1;0;1
sp20;1.49;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;1
sp21;0.61;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;1;1;0;1;0;0;1;0;1
sp22;0.91;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1;1;0;0;0;0;1;0;1
sp24;3.8;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;1;1;0;1;0;0;1;0;1
sp25;0.82;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;1;1;0;1;0;1;0;1;0
sp26;1.28;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;1;1;0;1;0;0;1;0;1
sp27;0.32;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1
sp28;2.19;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;1
sp29;0.64;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1;1;0;1;0;0;1;0;1
sp30;22.69;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;1
sp31;0.35;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1;1;0;1;0;0;1;0;1
sp32;6.34;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;1;0;0;1;0;1
sp33;4.68;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;1;0;0;1;0;1
sp34;1.4;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;1;0;0;1;0;1
sp35;0.63;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;1;1;1;1;0;0;1;0;1
sp37;0.53;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;1;0;0;1;0;1
sp38;4.88;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;1;1;0;1;0;0;1;1;0
sp40;2.04;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;1;0;0;1
sp42;0.94;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;1;0;0;1;1;0
sp43;0.61;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;1;0;0;1;0;1
sp44;0.85;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;1;0;0;1;1;0
sp45;1.07;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;1;0;0;1;0;1
sp46;1.12;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;0;0;1;0;1;0
sp47;2.35;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;1;0;0;1;1;0
