Sp;SLA;HEIGHT;Seed.mass;DispType;rosette;semirosette;regular;C;S;CSR;SC;CR;SR;annual;biannual;herbperennial;woodyperennial
sp1;22.04;17.5;44.8;AN;0;0;3;1;0;0;0;0;0;0;0;0;1
sp2;44.7;0.8;2.255;AUB;0;2;0;0;0;0;0;1;0;0;1;0;0
sp3;29.8;1;0;AN;1;0;0;1;0;0;0;0;0;0;0;1;0
sp4;23.58;17.5;0.2444;AN;0;0;3;1;0;0;0;0;0;0;0;0;1
sp5;22.78;0.9;0.556;AN;0;2;0;1;0;0;0;0;0;0;0;1;0
sp6;24.91;0.9;0.1025;AN;0;2;0;1;0;0;0;0;0;0;0;1;0
sp7;11.6;0.59;0.0248;AN;0;0;3;0;0;0;1;0;0;0;0;0.5;0.5
sp8;22.8;0.35;1.7042;AN;1;0;0;0;0;0;0;0;0;0;0;1;0
sp9;29.2;0.28;29.05;ZOO;1;0;0;0;0;0;1;0;0;0;0;1;0
sp10;15.96;0.525;0.2176;AN;0;2;0;1;0;0;0;0;0;0;0;1;0
sp11;18.6;0.325;0.22;ZOO;0;2;0;0;1;0;0;0;0;0;0;1;0
sp12;17.3;1;0.071;AN;0;2;0;0;0;0;0;1;0;0;0;1;0
sp13;24.8;0.375;0;AN;1;0;0;0;0;0;1;0;0;0;0;1;0
sp14;21;0.6;0;AN;1;0;0;0;0;0;1;0;0;0;0;1;0
sp15;17.86;0.6;0;AN;1;0;0;0;0;0;1;0;0;0;0;1;0
sp16;24.2;0.75;0;AN;1;0;0;0;0;0;1;0;0;0;0;1;0
sp17;24.2;0.75;0;AN;1;0;0;0;0;0;0;0;0;0;0;1;0
sp18;24.91;0.75;177.4;ZOO;0;0;3;1;0;0;0;0;0;0;0;0;1
sp19;65.36;0.35;4.409;AUB;0;0;3;0;0;0;0;1;0;1;0;0;0
sp20;24.7;0.15;0.607;ZOO;0;0;3;0;0;1;0;0;0;0;0;1;0
sp21;67.67;0.25;0;AN;0;0;3;0;1;0;0;0;0;0;0;1;0
sp22;10.9;5;20.43;ZOO;0;0;3;0;0;0;1;0;0;0;0;0.5;0.5
sp23;17.5;0.225;0.238;AN;0;2;0;0;0;1;0;0;0;0;0;1;0
sp24;141.47;0.45;6.56;AUB;0;0;3;0;0;0;0;0;1;1;0;0;0
sp25;22.9;0.5;2.4368;ZOO;0;0;3;0;0;1;0;0;0;0;0;1;0
sp26;9.9;35;6.24;AN;0;0;3;1;0;0;0;0;0;0;0;0;1
sp27;23.76;0.5;0.258;ZOO;0;2;0;0;0;1;0;0;0;0;0;1;0
sp28;18.3;0.6;0.7;ZOO;0;2;0;0;0;0;1;0;0;0;0;1;0
sp29;9.9;1.575;0;ZOO;0;0;3;0;0;0;0;0;0;0;0;1;0
sp30;32.41;0.2;13.84;ZOO;0;0;3;0;1;0;0;0;0;0;0;1;0
sp31;25;0.3;5.55;ZOO;1;0;0;0;0;0;1;0;0;0;0;1;0
sp32;58.89;0.7;0.29;AN;0;2;0;0;0;1;0;0;0;0;0;1;0
sp33;61.33;0.08;0.903;AUB;1;0;0;0;0;1;0;0;0;0;0;1;0
sp34;42.63;0.225;0;AN;0;0;3;1;0;0;0;0;0;0;0;1;0
sp35;3.323156172;35;7.154;AN;0;0;3;1;0;0;0;0;0;0;0;0;1
sp36;22.7;0.6;0.187;AN;0;0;3;0;0;1;0;0;0;0;0;1;0
sp37;41.65;0.27;12.9;ZOO;0;0;3;0;0;1;0;0;0;0;0;1;0
sp38;65.86;1;1.359;AN;0;2;0;0;0;0;1;0;0;0;0;1;0
sp39;24.86;1.3;2.30285;ZOO;0;0;3;1;0;0;0;0;0;0;0;0.5;0.5
sp40;24.86;1;2.49;ZOO;0;0;3;0;0;0;0;0;0;0;0;0.5;0.5
sp41;43.72;1.05;0.254;AN;0;0;3;1;0;0;0;0;0;0;0;1;0
sp42;15.15151515;9;3.1964;ZOO;0;0;3;1;0;0;0;0;0;0;0;0;1
sp43;44.84304933;0.18;0.7255;AUB;1;0;0;0;1;0;0;0;0;0;0;1;0
sp44;25.2;0.18;0.167;ZOO;0;0;3;1;0;0;0;0;0;0;0;1;0
sp45;21.26;0.325;0.27;ZOO;0;0;3;0;0;0;1;0;0;0;0;0.5;0.5
sp46;8.09;0.125;0.28;ZOO;0;0;3;0;0;0;1;0;0;0;0;0.5;0.5
