Species;Coloniality;Corallite.width.maximum;Colony.maximum.diameter;Depth.lower;Depth.upper;Growth.form.typical;Wave.exposure.preference;Water.clarity.preference;Substrate.attachment;Skeletal.density;Sexual.system;Mode.of.larval.development;Growth.rate
Acanthastrea_brevis;colonial;25;NA;20;1;submassive;broad;clear;attached;NA;NA;NA;NA
Acanthastrea_echinata;colonial;22.5;100;43.3333333333333;8.33333333333333;massive;broad;both;attached;NA;hermaphrodite;spawner;NA
Acanthastrea_hemprichi;colonial;18.8;100;20;2;massive;broad;both;attached;NA;NA;NA;NA
Acanthastrea_ishigakiensis;colonial;21;50;15;1;massive;protected;clear;attached;NA;NA;NA;NA
Acanthastrea_regularis;colonial;9.1;30;20;2;massive;protected;clear;attached;NA;NA;NA;NA
Acanthastrea_rotundoflora;colonial;14.7;NA;30;2;encrusting;protected;clear;attached;NA;NA;NA;NA
Acanthastrea_subechinata;colonial;17.7;20;35;0;massive;broad;clear;attached;NA;NA;NA;NA
Acropora_abrolhosensis;colonial;1.5;533.333333333333;29.3333333333333;1.5;branching_open;protected;clear;attached;NA;hermaphrodite;spawner;NA
Acropora_abrotanoides;colonial;1.2;NA;20.5;0.5;branching_open;exposed;clear;attached;NA;hermaphrodite;spawner;NA
Acropora_aculeus;colonial;1;40;37.4;4.25;corymbose;broad;clear;attached;NA;hermaphrodite;spawner;NA
Acropora_acuminata;colonial;1.2;133.333333333333;22.5;3;branching_open;broad;both;attached;NA;NA;NA;NA
Acropora_akajimensis;colonial;NA;NA;20;0.75;branching_closed;exposed;clear;attached;NA;NA;NA;NA
Acropora_anthocercis;colonial;1.3;75;17.5;3;tables_or_plates;exposed;clear;attached;NA;hermaphrodite;spawner;NA
Acropora_appressa;colonial;NA;NA;15;1;corymbose;broad;clear;attached;NA;hermaphrodite;spawner;NA
Acropora_arabensis;colonial;2;NA;11;0.75;digitate;exposed;clear;attached;NA;hermaphrodite;spawner;NA
Acropora_aspera;colonial;1.8;NA;9.33333333333333;0.333333333333333;branching_open;exposed;clear;attached;0.92;hermaphrodite;spawner;4.06426315789474
Acropora_austera;colonial;1.5;NA;24.75;2.83333333333333;branching_open;exposed;clear;attached;NA;NA;NA;NA
Acropora_awi;colonial;1;150;12.5;0;hispidose;protected;both;attached;NA;NA;NA;NA
Acropora_azurea;colonial;NA;15;10;1;branching_closed;exposed;clear;attached;NA;NA;NA;NA
Acropora_batunai;colonial;0.5;125;44.5;1;tables_or_plates;protected;clear;attached;NA;NA;NA;NA
Acropora_bifurcata;colonial;NA;NA;25;1;tables_or_plates;exposed;clear;attached;NA;NA;NA;NA
Acropora_branchi;colonial;NA;NA;NA;NA;tables_or_plates;exposed;clear;attached;NA;hermaphrodite;spawner;NA
Acropora_bushyensis;colonial;1.5;25;4.25;0.5;digitate;protected;clear;attached;NA;hermaphrodite;spawner;NA
Acropora_cardenae;colonial;NA;NA;57.5;NA;branching_open;protected;clear;attached;NA;NA;NA;NA
Acropora_carduus;colonial;0.9;NA;36.25;4;hispidose;protected;clear;attached;NA;NA;spawner;NA
Acropora_caroliniana;colonial;1;50;35;10;tables_or_plates;exposed;clear;attached;NA;NA;NA;NA
Acropora_cerealis;colonial;0.8;50;26.2;2.5;corymbose;exposed;clear;attached;NA;hermaphrodite;spawner;42.9
Acropora_cervicornis;colonial;1.7;68.69;40;0.25;branching_open;protected;clear;attached;1.60616666666667;hermaphrodite;spawner;49.5528863636364
Acropora_chesterfieldensis;colonial;1;NA;29;3;branching_closed;protected;clear;attached;NA;NA;NA;NA
Acropora_clathrata;colonial;0.9;NA;27.25;2.66666666666667;tables_or_plates;broad;clear;attached;NA;hermaphrodite;spawner;NA
Acropora_convexa;colonial;NA;NA;20;1;corymbose;protected;turbid;attached;NA;NA;NA;NA
Acropora_cophodactyla;colonial;NA;NA;12;0.5;digitate;exposed;clear;attached;NA;NA;NA;NA
Acropora_copiosa;colonial;NA;NA;NA;1;branching_open;protected;clear;attached;NA;NA;NA;NA
Acropora_cylindrica;colonial;NA;100;12;0;branching_open;exposed;clear;attached;NA;NA;NA;NA
Acropora_cytherea;colonial;1;300;30.0833333333333;10.6;tables_or_plates;broad;clear;attached;NA;NA;NA;39.5
Acropora_dendrum;colonial;1.2;100;20;3;corymbose;exposed;clear;attached;NA;NA;spawner;NA
Acropora_derawanensis;colonial;1;100;27.5;10;branching_open;protected;both;attached;NA;NA;NA;NA
Acropora_desalwii;colonial;0.8;30;32.5;10;corymbose;protected;clear;attached;NA;NA;NA;NA
Acropora_digitifera;colonial;1.6;100;11.25;0.75;digitate;exposed;clear;attached;NA;hermaphrodite;spawner;NA
Acropora_divaricata;colonial;1.1;NA;20;4;tables_or_plates;exposed;clear;attached;NA;hermaphrodite;spawner;41.5
Acropora_donei;colonial;1.4;266.666666666667;36.6666666666667;3;branching_open;broad;clear;attached;NA;hermaphrodite;spawner;NA
Acropora_downingi;colonial;1;NA;10;1;tables_or_plates;exposed;clear;attached;NA;NA;NA;NA
Acropora_echinata;colonial;1;150;41.6666666666667;8;hispidose;protected;clear;attached;NA;hermaphrodite;spawner;NA
Acropora_efflorescens;colonial;NA;200;40;5.5;tables_or_plates;exposed;clear;attached;NA;NA;NA;NA
Acropora_elegans;colonial;0.8;NA;51.6666666666667;30;tables_or_plates;protected;clear;attached;NA;NA;NA;NA
Acropora_elegantula;colonial;NA;NA;20;2;branching_closed;broad;clear;attached;NA;NA;NA;NA
Acropora_elseyi;colonial;0.9;50;24.5;2;hispidose;broad;clear;attached;NA;hermaphrodite;spawner;0.37
Acropora_eurystoma;colonial;2;NA;26;3;NA;protected;clear;attached;NA;hermaphrodite;spawner;20.2
Acropora_exquisita;colonial;NA;NA;20;1.5;branching_closed;protected;clear;attached;NA;NA;NA;NA
Acropora_fastigata;colonial;NA;NA;20;2;branching_closed;broad;clear;attached;NA;NA;NA;NA
Acropora_fenneri;colonial;NA;100;NA;NA;branching_open;protected;clear;attached;NA;NA;NA;NA
Acropora_filiformis;colonial;NA;NA;20;8;branching_open;protected;clear;attached;NA;NA;NA;NA
Acropora_florida;colonial;1.4;1500;31.5;2.33333333333333;branching_open;broad;clear;attached;NA;hermaphrodite;spawner;NA
Acropora_forskali;colonial;NA;NA;25;2;branching_open;broad;clear;attached;NA;NA;NA;NA
Acropora_gemmifera;colonial;1.6;NA;16;1;digitate;broad;clear;attached;NA;hermaphrodite;spawner;NA
Acropora_glauca;colonial;1.3;NA;20;3;tables_or_plates;protected;both;attached;1.46;hermaphrodite;spawner;NA
Acropora_globiceps;colonial;2.1;NA;14;0.5;digitate;exposed;clear;attached;NA;hermaphrodite;NA;NA
