Sp;BL;AbdoL;AbdoW;CephalW;FangLl;FangLr;TibiaLl;TibiaLr;Asymmetry;Pilosity
sp1;5.65;2.6;2.58;2.23;0.63;0.61;2;1.95;0.008;2
sp2;5.94;3.61;4.21;2.11;0.39;0.38;2.56;2.56;0.001;3
sp3;3.88;2.36;2.99;1.46;0.25;0.25;1.33;1.3;0.0092;2
sp5;4.94;2.99;1.39;1.44;0.71;0.76;3.74;3.75;0.0033;1
sp6;5.11;2.54;1.76;1.56;0.59;0.59;2.74;2.85;0.0217;1
sp7;11.51;7.73;5.58;3.77;0.87;0.87;5.12;6.13;0.0002;3
sp8;7.22;4.22;3.87;2.36;0.65;0.65;2.17;2.17;0.0036;1
sp9;7.46;4.58;4.04;2.84;0.51;0.49;2.76;2.75;0.0009;2
sp10;5.285;3.56;1.585;1.445;0.24;0.24;2.47;2.46;0.00905;1.25
sp11;8.94;5.755;4.01;3.14;0.51;0.505;4.05;3.59;0.0187;2.25
sp12;2.13;1.05;2.62;1.08;0.27;0.27;0.33;0.33;0.0012;1
sp13;8.63;4.23;3.61;4.16;0.48;0.5;5.31;5.51;0.0261;2
sp14;4.76;2.845;2.55;1.54;0.33;0.34;1.625;1.625;0.0017;2
sp15;5.85;3.8;1.52;1.43;0.31;0.31;3.29;3.31;0.00505;0.65
sp16;5.705;3.25;2.26;2.055;0.45;0.445;2.245;2.235;0.0126;1.4
sp17;4.175;2.385;2.135;1.625;0.335;0.335;1.96;1.765;0.0047;1.65
sp18;4.345;2.39;1.855;1.675;0.315;0.365;2.04;1.99;0.0121;2
sp19;2.88;1.64;1.69;1.09;0.24;0.22;0.73;0.77;0.0111;1
sp20;4.26;2.32;2.11;1.58;0.42;0.4;1.19;1.22;0.0065;2
sp21;5.19;2.89;2.86;1.82;0.42;0.38;1.41;1.4;0.002;3
sp22;6.5;4.44;3.35;1.96;0.45;0.45;2.44;2.45;0.001;3
sp23;2.16;1.2;1.06;0.89;0.15;0.15;1.24;1.24;0.0023;1
sp25;3.39;1.91;1.15;1.02;0.37;0.39;0.77;0.78;0.0029;0
sp26;4.87;2.59;1.61;1.35;0.31;0.3;2.43;2.52;0.0176;3
sp27;1.85;1.11;0.86;0.62;0.11;0.11;0.63;0.65;0.0159;2
sp28;2.54;1.28;0.86;0.87;0.11;0.1;0.71;0.74;0.013;2
sp29;1.47;0.84;0.49;0.46;0.13;0.13;0.45;0.44;0.0061;1
sp30;1.93;1.06;0.75;0.47;0.15;0.14;0.66;0.68;0.0093;1
sp31;2.03;1.2;1;0.61;0.21;0.22;0.83;0.82;0.0034;1
sp32;1.62;0.93;0.77;0.53;0.17;0.17;0.36;0.35;0.0093;1
sp33;1.05;0.5;0.43;0.39;0.12;0.11;0.48;0.47;0.0114;3
sp35;2.69;1.44;1;0.9;0.23;0.23;0.98;0.9;0.0246;1
sp36;0.8;0.41;0.31;0.23;0.07;0.08;0.24;0.23;0.005;0
sp37;5.9;3.235;1.965;1.86;0.95;0.97;2.685;2.725;0.0068;1
sp38;4.7;2.67;1.52;1.255;0.75;0.75;2.735;2.79;0.01745;1
sp39;6.14;4.22;1.9;1.51;0.3;0.28;1.94;1.95;0.0024;1
sp40;4.755;2.675;1.595;1.535;0.26;0.265;1.885;1.875;0.00755;1.35
sp41;6.69;4.1;2.04;2.01;0.83;0.79;1.9;1.97;0.0096;2
sp42;4.555;2.63;1.195;1.115;0.385;0.385;0.645;0.655;0.00325;2
sp44;4.54;2.33;1.42;1.48;0.42;0.41;0.6;0.64;0.008;2
sp45;3.87;2.18;1.915;1.565;0.34;0.335;1.3;1.3;0.00535;1.25
sp46;5.67;3.54;2.24;1.67;0.55;0.51;0.6;0.59;0.0009;2
sp47;5.57;3.29;2.17;1.9;1;0.95;1.87;1.87;0.0009;0
sp48;5.33;3.07;1.83;1.73;0.5;0.51;1;0.98;0.0022;3
sp49;4.22;2.25;1.41;1.53;0.4;0.39;0.9;0.89;0.0063;2.5
sp50;3.25;1.67;1.26;1.03;0.27;0.27;0.4;0.4;0.0015;3
sp51;2.71;1.5;0.94;0.96;0.1;0.19;0.41;0.41;0.0015;3
sp52;2.62;1.48;1.17;0.93;0.22;0.22;0.25;0.25;0.0031;2
sp55;3.02;1.47;1.2;1.25;0.11;0.11;0.65;0.66;0.003;2
sp56;2.92;1.54;0.8;0.83;0.12;0.13;0.7;0.71;0.0017;1
sp57;5.05;2.91;1.24;1.5;0.19;0.19;1.21;1.24;0.0071;3
sp58;3.14;1.65;0.69;0.98;0.22;0.22;0.75;0.75;0.0018;1
sp59;5.98;3.63;2.37;1.7;0.4;0.41;0.61;0.62;0.004;2
sp60;5.98;4.02;2.7;2.35;0.59;0.58;0.87;0.81;0.0097;1
sp61;2.91;1.72;0.65;0.7;0.15;0.15;0.48;0.46;0.0048;1
sp62;4.47;2.76;1.2;0.98;0.32;0.31;1.18;1.15;0.0067;1
