Sp;Guild;Prosoma_length;Prosoma_width;Opistosoma_length;Prosoma_height;Body_compression;orbicular_web;sheet_web;space_cob_web;Ambush_hunter;Active_hunter;Shelter;Diurnal;Nocturnal;Diuturno;Dorsal_eyes;Dorsofrontal;Tapetum;claw_tuft;scopula_tuft;none
sp14;Hunting;2;1.6;2.8;1.26;0.788;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0
sp15;Hunting;2;1.55;2.85;1.2;0.774;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0
sp11;Hunting;2.17;1.74;2.67;1.28;0.736;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0
sp10;Hunting;2.2;1.71;3.13;1.2;0.702;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0
sp8;Hunting;2.82;2.28;3.7;1.79;0.785;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0
sp1;Hunting;2.41;1.91;3.11;1.4;0.733;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0
sp9;Hunting;2;1.55;2.36;1.13;0.729;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0
sp6;Hunting;1.69;1.33;2.14;1.06;0.797;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0
sp29;Web building;2;1.64;2.45;1.32;0.805;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1
sp16;Web building;1.38;1.33;2.3;0.99;0.744;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1
sp17;Web building;1.6;1.41;2.66;1.11;0.787;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1
sp32;Web building;3.55;2.97;4.46;2.4;0.808;1;0;0;0;0;1;0;1;0;0;1;1;0;0;1
sp24;Web building;1.18;1.18;2.12;0.99;0.839;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1
sp31;Web building;1.18;0.92;2.43;0.68;0.739;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1
sp25;Web building;1.49;1.32;1.91;1.02;0.773;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1
sp26;Web building;1.8;1.83;2.7;1.31;0.716;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1
sp27;Web building;2.5;2.4;2.7;1.8;0.75;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1
sp22;Web building;1.86;1.58;2.39;1.28;0.81;1;0;0;0;0;1;0;0;1;0;1;1;0;0;1
sp20;Web building;2.4;1.7;2.2;1.39;0.818;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1
sp30;Web building;5.1;4.7;7.59;3.87;0.823;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1
sp33;Hunting;6.11;5.03;7.48;4.64;0.922;0;0;0;1;0;1;0;0;1;0;1;1;0;1;0
