SP_ID;AGEFLOW_MAX;AGEFLOW_MIN;APOM;CATTLE;CHANGE_TENDENCY_INDK;CLONAab;CLONAbel;CLONRATE;CNRATIO;C_Plant;DEER;DIASPTYPE;DICH;DISP;DISP_INDK;DISP_VITTOZ;DNA;ECOLOGICAL_GRP_INDK;ELLAER_INDK;ELLAER_INDK_VAR;ELLCONT;ELLCONT_INDK;ELLHUMUS_INDK;ELLHUMUS_INDK_VAR;ELLLITE;ELLMOIST;ELLMOIST_INDK;ELLMOIST_INDK_VAR;ELLMOISTVAR_INDK;ELLNIT;ELLNIT_INDK_VAR;ELLPH;ELLREAC_INDK;ELLREAC_INDK_VAR;ELLSALT;ELLSALT_INDK;ELLTEMP;ELLTEMP_INDK;ENDEM;FECUNDITY;FLONSET_END_INDK;FRUIT;GERMRATE;GERMREQ;GRAZ;GROWTHF;IMMIG_INVASIV_INDK;INFLO_DETAIL;INFLO_SIMPLE;L_ANAT;L_ANGLE;L_AREA;LATSPR;LCCp;LD13C;LD15N;LDMC;L_DRYM;Leaf_T_Strength;L_FORM;L_FRESHM;LIFESPAN;LKC;L_LONG;LNC;LPC;LPERST_INDK;L_THICK;MAX_AGE;MEDIC_POISON_FX_INDK;MOW;MOW_TOLERANCE_INDK;MYCORR;NATURAL;NBCHROM;N_Plant;NUTR;Palatability;PL_H_flora_MIN;PLOIDY;PL_REPR_H;PL_VEG_H;PL_VEG_H_max;POLL_2ND_INDK;POLL_MAIN_INDK;REPROD_INDK;REPSTRAT;ROOT_DEPTH_INDK;ROOTMET;ROSET;SEEDH;SEEDL;SEED_LONGEVITY_INDK;SEEDM;SEEDPROD;SEEDW;SLA;TAPROOT;WOODY
13;NA;NA;NA;NA;=;NA;NA;NA;NA;NA;NA;NA;NA;NA;meteorochory;NA;NA;NA;2;large_variation_(II);NA;3;2;small_variation_(I);6;NA;2;small_variation_(I);1;NA;small_variation_(I);NA;4;small_variation_(I);NA;NA;NA;4.5;NA;NA;May;NA;NA;NA;NA;NA;idiochorophytes_or_indigenes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;decidous;NA;150;edible;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;entomogamous;unisexual_and_monoecious;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;NA;NA;NA;NA;=;NA;NA;NA;NA;NA;NA;NA;NA;NA;meteorochory;NA;NA;NA;2;large_variation_(II);NA;3;2;small_variation_(I);NA;NA;2;small_variation_(I);1;NA;small_variation_(I);NA;4;small_variation_(I);NA;NA;NA;4.5;NA;NA;May;NA;NA;NA;NA;NA;idiochorophytes_or_indigenes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;decidous;NA;150;edible;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;entomogamous;unisexual_and_monoecious;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;NA;NA;NA;NA;=;NA;NA;NA;NA;NA;NA;NA;NA;Wind_dispersal;meteorochory;6;NA;NA;2;large_variation_(II);NA;3;2;small_variation_(I);6;NA;2;small_variation_(I);1;NA;small_variation_(I);NA;4;small_variation_(I);NA;NA;NA;4.5;NA;NA;May;Samara;NA;NA;NA;NA;idiochorophytes_or_indigenes;corymb;corymb;mesomorphic_scleromorphic;NA;12.01;NA;NA;NA;NA;0.205780945;0.02584;NA;lobate;0.12707;pluriennial;NA;summer_green;NA;NA;decidous;NA;150;edible;NA;NA;NA;Indigenous;13;NA;Chlorophyllian;NA;200;diploid;NA;700;600;NA;entomogamous;unisexual_and_monoecious;NA;3;NA;Erosulate_plant;NA;NA;NA;NA;NA;NA;44.18994413;NA;Frutescent
19;NA;NA;NA;NA;=;NA;NA;NA;NA;NA;NA;NA;NA;Wind_dispersal;meteorochory;5;NA;forest_plants;2;large_variation_(II);4;3;2;small_variation_(I);5;4;2;small_variation_(I);1;6;small_variation_(I);8;4;small_variation_(I);NA;NA;8;4.5;NA;924;May;Samara;NA;NA;NA;NA;idiochorophytes_or_indigenes;corymb;corymb;mesomorphic;NA;NA;NA;NA;NA;NA;NA;NA;NA;lobate;NA;pluriennial;NA;summer_green;NA;NA;decidous;NA;500;edible;NA;NA;NA;Indigenous;13;NA;Chlorophyllian;2;200;diploid;NA;950;1000;NA;entomogamous;unisexual_and_monoecious;NA;3;NA;Erosulate_plant;3.25;24.45;NA;100;NA;8.9;17.68;NA;Frutescent
24;NA;NA;NA;NA;<;NA;NA;NA;NA;NA;NA;NA;NA;NA;meteorochory;NA;NA;NA;2;small_variation_(I);NA;2;2;small_variation_(I);NA;NA;3;small_variation_(I);1;NA;small_variation_(I);NA;3;small_variation_(I);NA;NA;NA;4.5;NA;NA;April;NA;NA;NA;NA;NA;neophytes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;decidous;NA;NA;edible;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;anemogamous;unisexual_and_monoecious;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
26;NA;NA;NA;NA;<;NA;NA;NA;NA;NA;NA;NA;NA;NA;endochory;NA;NA;NA;2;small_variation_(I);NA;2;2;small_variation_(I);NA;NA;3;small_variation_(I);1;NA;small_variation_(I);NA;3;small_variation_(I);NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;neophytes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;decidous;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;hermaphroditic_and_normal_sexual;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
60;NA;NA;NA;NA;<;NA;NA;NA;NA;NA;NA;NA;NA;NA;epichory;NA;NA;weeds_and_ruderal_plants;1;small_variation_(I);NA;2;2;small_variation_(I);NA;NA;3;small_variation_(I);2;NA;small_variation_(I);NA;3;small_variation_(I);NA;salt_tolerant;NA;4;NA;NA;September;NA;NA;NA;NA;NA;neophytes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;decidous;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;hermaphroditic_and_normal_sexual;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
66;NA;NA;NA;NA;<;NA;NA;NA;NA;NA;NA;germinule;protogynous;Unassisted_dispersal;anthropochory_epichory;7;NA;weeds_and_ruderal_plants;2;small_variation_(I);6;3;2;small_variation_(I);8;3.5;2.5;small_variation_(I);1;7;small_variation_(I);8;3;large_variation_(II);0;salt_tolerant;8;4.5;NA;NA;October;Pyxid;NA;NA;NA;NA;neophytes;spike-like_panicle;panicle;mesomorphic;NA;NA;NA;NA;NA;NA;NA;NA;NA;simple;NA;annual;NA;summer_green;NA;NA;decidous;NA;NA;edible;NA;NA;NA;Exogenous;16;NA;Chlorophyllian;NA;30;diploid;30;35;50;NA;anemogamous;unisexual_and_monoecious;NA;2.5;NA;Erosulate_plant;0.565;0.84;NA;0.35;NA;0.87;NA;NA;Herbaceous
70;NA;NA;NA;NA;<;NA;NA;NA;NA;NA;NA;NA;NA;NA;anthropochory_epichory;NA;NA;NA;2;small_variation_(I);NA;3;2;small_variation_(I);NA;NA;2;small_variation_(I);1;NA;small_variation_(I);NA;4;large_variation_(II);NA;salt_tolerant;NA;4.5;NA;NA;October;NA;NA;NA;NA;NA;neophytes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;decidous;NA;NA;edible;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;unisexual_and_monoecious;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
71;NA;NA;NA;NA;=;NA;NA;NA;NA;NA;NA;NA;protogynous;Unassisted_dispersal;anthropochory_epichory;7;NA;weeds_and_ruderal_plants;2;small_variation_(I);3;2;3;small_variation_(I);7.5;4;2.5;small_variation_(I);1;8;small_variation_(I);NA;3;large_variation_(II);NA;NA;7;4;NA;NA;September;Pyxid;NA;NA;NA;NA;presumably_indigenous_in_some_areas_of_the_study_region_and_widely_spread_later_but_after_1500_AD;spike-like_panicle;panicle;mesomorphic;NA;NA;NA;NA;NA;NA;NA;NA;NA;full;NA;annual;NA;summer_green;NA;NA;decidous;NA;NA;edible;NA;NA;NA;Exogenous;17;NA;Chlorophyllian;NA;10;diploid;32.5;25;50;NA;NA;unisexual_and_monoecious;NA;2.5;NA;Erosulate_plant;NA;NA;3;NA;NA;NA;NA;NA;Herbaceous
