UniqueID;Relative.Adult.Mobility;Estimated.Max.Body.Size;Gregariousness;Foundation.Species;Habitat.Complexity;Abundance;Chemosynthesis.Obligate;Position.of.Symbiont;Min.Depth.Range.Lower.Bound;Min.Depth.Range.Upper.Bound;Max.Depth.Range.Lower.Bound;Max.Depth.Range.Upper.Bound;Substratum;Zonation.From.Vent;Nutritional.Source;Trophic.Mode
Aby1;1;100;Always;No;Open bush forming;High;No;None;1500;2000;2500;3000;Hard;Low;Fauna;Carnivore O
Aby2;1;100;NA;NA;NA;NA;Vent;NA;2500;3000;2500;3000;Hard;Low;Fauna;Carnivore O
Aby3;1;100;Sometimes;NA;NA;NA;No;NA;2000;2500;2500;3000;Hard;Low;NA;NA
Aby4;2;1000;Sometimes;Yes;Bed forming;High;Other CBE;Endosymbiont;2500;3000;4500;5000;Soft;Low;Symbiont;Bacterivore
Aby5;3;10;Sometimes;No;Does not add;High;No;None;500;1000;4000;4500;NA;Low;Fauna;Carnivore S
Aby6;3;10;Sometimes;No;Does not add;High;No;None;2500;3000;5001;NA;NA;Low;Fauna;Carnivore S
Aby7;2;1;NA;NA;NA;High;Vent;None;2500;3000;2500;3000;Hard;Low;NA;NA
Aca8;4;100;NA;No;Does not add;NA;No;None;0;500;1500;2000;Soft;Medium;Fauna;Carnivore O
Ach9;2;1000;Never;No;Burrow forming;Low;Other CBE;Endosymbiont;1500;2000;1500;2000;Soft;Low;Symbiont;Bacterivore
Ach10;2;1000;Never;No;Burrow forming;Low;Other CBE;Endosymbiont;0;500;5001;NA;Soft;Low;Symbiont;Bacterivore
Act11;2;100;Sometimes;No;NA;Low;No;None;0;500;2500;3000;Hard;Low;Water column;Carnivore O
Act12;1;100;NA;NA;NA;NA;Vent;NA;2000;2500;2500;3000;Hard;Medium;Fauna;Carnivore O
Act13;1;100;NA;NA;NA;NA;Vent;NA;2000;2500;2500;3000;Hard;Medium;Fauna;Carnivore O
Act14;1;100;NA;NA;NA;High;Vent;NA;2000;2500;2500;3000;Hard;Medium;Fauna;Carnivore O
Act15;1;100;NA;NA;NA;High;Vent;NA;2000;2500;2500;3000;Hard;Medium;Fauna;Carnivore O
Act16;1;100;NA;NA;NA;Low;Vent;NA;2500;3000;2500;3000;NA;Low;Sediment or rock surface;Carnivore O
Ake17;3;1000;Always;Yes;Bed forming;High;Other CBE;Endosymbiont;0;500;1500;2000;Soft;Low;Symbiont;Bacterivore
Ala18;1;100;Sometimes;Yes;Dense bush forming;High;Other CBE;Endosymbiont;500;1000;1500;2000;Hard;Medium;Symbiont;Bacterivore
Alt19;1;10;Always;No;Does not add;Low;Vent;None;2000;2500;2000;2500;Hard;Low;Water column;NA
Alv20;1;100;NA;No;NA;NA;No;None;NA;NA;NA;NA;Hard;Low;Fauna;NA
Alv21;2;100;Always;Yes;Burrow forming;High;Vent;Episymbiont;2000;2500;2500;3000;Hard;High;Sediment or rock surface;Bacterivore
Alv22;2;100;Always;Yes;Burrow forming;High;Vent;Episymbiont;2000;2500;2500;3000;Hard;High;Sediment or rock surface;Bacterivore
Alv23;3;100;Always;Yes;Bed forming;High;Vent;Endosymbiont;0;500;0;500;Hard;High;Symbiont;Bacterivore
Alv24;3;100;Always;Yes;Mat forming;High;Vent;Endosymbiont;1000;1500;2500;3000;Hard;High;Symbiont;Bacterivore
Alv25;3;100;Sometimes;Yes;Mat forming;High;Vent;Endosymbiont;1000;1500;3500;4000;Hard;Medium;Symbiont;Bacterivore
