Genus_Species;Genus;Species;comname;sciname;Anaerobic;Browsable;Calcerous;Coarse_Soil;Cold_Strat_Reqd;Fine_Soil;Fire_Tolerance;FrostFree_Days;Grazable;Height20yrs;HeightMax;max_pH;max_Precip;MediumSoil;min_pH;min_Precip;min_Temp;NitrFix;growthHabit;
Abelia_grandiflora;Abelia;grandiflora;glossy abelia;Abelia grandiflora (Rovelli ex André) Rehd.;0;NA;0;1;0;0;2;145;NA;1.21921482565228;1.21921482565228;6.8;152.4;1;5.5;88.9;-22.2222222222222;0;Shrub;
Abies_amabilis;Abies;amabilis;Pacific silver fir;Abies amabilis (Dougl. ex Loud.) Dougl. ex Forbes;0;NA;1;1;1;1;0;40;NA;6.0960741282614;60.960741282614;6;203.2;1;3.3;86.36;-13.8888888888889;0;Tree;
Abies_balsamea;Abies;balsamea;balsam fir;Abies balsamea (L.) P. Mill.;0;1;1;1;1;0;1;80;NA;5.48646671543526;18.2882223847842;6;152.4;1;4;33.02;-41.6666666666667;0;Tree;
Abies_concolor;Abies;concolor;white fir;Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.;0;1;1;1;1;0;3;80;NA;6.0960741282614;36.5764447695684;7.8;203.2;1;5.5;45.72;-38.8888888888889;0;Tree;
Abies_fraseri;Abies;fraseri;Fraser fir;Abies fraseri (Pursh) Poir.;1;1;1;1;1;0;1;90;1;6.0960741282614;21.3362594489149;5.5;132.08;1;3.5;60.96;-30.5555555555556;0;Tree;
Abies_grandis;Abies;grandis;grand fir;Abies grandis (Dougl. ex D. Don) Lindl.;0;1;1;1;1;0;3;60;NA;7.62009266032675;60.960741282614;7.5;254;1;4.5;27.94;-36.1111111111111;0;Tree;
Abies_lasiocarpa;Abies;lasiocarpa;subalpine fir;Abies lasiocarpa (Hook.) Nutt.;0;1;1;1;1;0;1;120;NA;4.57205559619605;30.480370641307;6.5;101.6;1;4;50.8;-46.1111111111111;0;Tree;
Abies_magnifica;Abies;magnifica;California red fir;Abies magnifica A. Murr.;0;1;1;1;1;0;1;90;1;10.6681297244574;48.7685930260912;7.5;152.4;1;6;76.2;-30.5555555555556;0;Tree;
Abies_procera;Abies;procera;noble fir;Abies procera Rehd.;0;1;1;1;1;0;1;130;1;7.62009266032675;70.1048524750061;7.5;508;1;6;162.56;-30.5555555555556;0;Tree;
Abies_shastensis;Abies;shastensis;Shasta red fir;Abies shastensis (Lemmon) Lemmon;0;1;1;1;1;0;1;90;1;7.62009266032675;54.8646671543526;7.5;152.4;1;6;76.2;-30.5555555555556;0;Tree;
Acacia_constricta;Acacia;constricta;whitethorn acacia;Acacia constricta Benth.;0;2;3;1;0;0;0;250;NA;1.82882223847842;1.82882223847842;8.5;27.94;1;7;10.16;-25;0;Tree;
Acacia_cyclops;Acacia;cyclops;cyclops acacia;Acacia cyclops A. Cunningham ex G. Don;0;1;1;1;0;1;2;180;NA;3.65764447695684;3.65764447695684;8.3;101.6;1;6;40.64;-10;NA;Shrub;
Acacia_greggii;Acacia;greggii;catclaw acacia;Acacia greggii Gray;0;2;3;1;0;0;2;250;NA;4.57205559619605;13.7161667885881;8.5;27.94;1;7;10.16;-25;0;Tree;
Acacia_koa;Acacia;koa;koa;Acacia koa Gray;0;NA;2;1;0;1;2;365;NA;30.480370641307;33.5284077054377;7;508;1;5.5;127;10;3;Tree;
Acacia_longifolia;Acacia;longifolia;Sydney golden wattle;Acacia longifolia (Andr.) Willd.;0;1;1;1;0;1;2;180;NA;6.0960741282614;6.0960741282614;8.3;101.6;1;6;40.64;-10;NA;Tree;
